admitidos,año,codigo snies del programa,id genero,semestre
8,2014,1595,2,2
14,2014,1596,2,2
36,2014,1597,2,2
287,2014,1598,2,2
38,2014,1605,1,2
38,2014,1606,2,2
6,2014,1607,2,2
60,2014,1614,1,2
13,2014,1620,2,2
67,2014,1621,2,2
67,2014,1622,2,2
43,2014,1626,2,2
40,2014,1627,2,2
68,2014,1628,1,2
67,2014,1630,1,2
31,2014,1635,1,2
29,2014,1636,2,2
75,2014,1640,2,2
46,2014,1641,2,2
26,2014,1642,2,2
18,2014,1643,2,2
15,2014,1644,1,2
27,2014,1645,1,2
20,2014,1646,2,2
28,2014,1647,2,2
26,2014,1649,1,2
7,2014,1650,2,2
68,2014,1651,1,2
10,2014,1652,1,2
19,2014,1653,1,2
188,2014,1654,2,2
70,2014,1655,1,2
60,2014,1656,2,2
17,2014,1657,1,2
5,2014,1658,1,2
50,2014,1667,1,2
70,2014,1668,2,2
151,2014,1676,1,2
2,2014,1677,1,2
4,2014,1678,1,2
4,2014,1679,1,2
2,2014,1680,2,2
8,2014,1681,1,2
2,2014,1682,1,2
2,2014,1683,1,2
2,2014,1684,1,2
5,2014,1687,2,2
9,2014,1688,1,2
7,2014,1689,2,2
44,2014,1690,2,2
27,2014,1691,2,2
19,2014,1692,1,2
34,2014,1693,2,2
47,2014,1694,2,2
87,2014,1697,1,2
63,2014,1698,2,2
31,2014,1703,2,2
18,2014,1705,2,2
53,2014,1706,2,2
214,2014,1708,1,2
108,2014,1710,1,2
32,2014,1715,2,2
68,2014,1716,2,2
73,2014,1717,2,2
140,2014,1718,1,2
91,2014,1719,1,2
57,2014,1724,1,2
52,2014,1725,1,2
119,2014,1730,2,2
81,2014,1731,2,2
45,2014,1736,1,2
20,2014,1737,1,2
21,2014,1738,1,2
39,2014,1739,1,2
25,2014,1741,1,2
27,2014,1742,1,2
22,2014,1743,2,2
55,2014,1749,1,2
118,2014,1751,2,2
34,2014,1752,2,2
129,2014,1755,2,2
102,2014,1758,2,2
40,2014,1760,1,2
50,2014,1762,2,2
40,2014,1763,2,2
34,2014,1764,2,2
241,2014,1765,2,2
7,2014,1766,1,2
22,2014,1767,1,2
12,2014,1768,2,2
103,2014,1769,1,2
193,2014,1770,2,2
179,2014,1771,1,2
91,2014,1774,2,2
39,2014,1775,1,2
15,2014,1776,1,2
146,2014,1777,1,2
74,2014,1778,1,2
124,2014,1779,1,2
94,2014,1780,2,2
6,2014,1781,2,2
1,2014,1783,2,2
3,2014,1784,2,2
11,2014,1786,2,2
1,2014,1788,2,2
15,2014,1790,2,2
9,2014,1791,2,2
6,2014,1792,2,2
4,2014,1793,1,2
7,2014,1795,2,2
2,2014,1796,1,2
7,2014,1801,2,2
7,2014,1805,1,2
8,2014,1806,1,2
128,2014,1807,2,2
20,2014,1810,2,2
3,2014,1811,2,2
