Admitidos,Año,Codigo SNIES del programa,ID Sexo,Semestre
125,2015,363,1,2
37,2015,364,1,2
213,2015,365,2,2
2,2015,371,1,2
5,2015,372,1,2
1,2015,376,1,2
34,2015,395,1,2
23,2015,400,2,2
55,2015,401,1,2
60,2015,403,1,2
63,2015,404,1,2
30,2015,405,2,2
9,2015,407,2,2
34,2015,412,1,2
59,2015,413,2,2
36,2015,417,2,2
43,2015,420,2,2
54,2015,426,2,2
47,2015,427,2,2
34,2015,429,2,2
65,2015,431,1,2
27,2015,432,2,2
46,2015,434,2,2
60,2015,435,2,2
63,2015,436,2,2
118,2015,437,2,2
66,2015,438,2,2
73,2015,439,1,2
70,2015,440,1,2
57,2015,441,1,2
58,2015,442,2,2
103,2015,444,1,2
62,2015,445,2,2
87,2015,446,1,2
113,2015,448,2,2
111,2015,450,2,2
54,2015,451,2,2
54,2015,452,1,2
44,2015,453,2,2
87,2015,454,2,2
90,2015,455,2,2
52,2015,456,1,2
7,2015,458,2,2
3,2015,460,2,2
6,2015,462,2,2
4,2015,463,2,2
13,2015,464,1,2
4,2015,465,1,2
4,2015,466,2,2
3,2015,467,1,2
3,2015,468,2,2
3,2015,469,1,2
5,2015,471,2,2
12,2015,472,2,2
6,2015,473,2,2
5,2015,474,1,2
3,2015,476,1,2
2,2015,477,1,2
31,2015,478,2,2
3,2015,479,2,2
5,2015,481,1,2
3,2015,482,2,2
7,2015,484,2,2
4,2015,485,2,2
21,2015,494,2,2
4,2015,515,1,2
17,2015,516,2,2
3,2015,517,2,2
10,2015,519,2,2
3,2015,521,1,2
51,2015,549,2,2
14,2015,551,1,2
40,2015,555,2,2
30,2015,565,2,2
36,2015,566,1,2
35,2015,568,2,2
37,2015,569,2,2
36,2015,571,1,2
38,2015,572,1,2
41,2015,576,2,2
40,2015,577,2,2
48,2015,579,2,2
40,2015,580,1,2
41,2015,581,1,2
48,2015,591,2,2
23,2015,594,2,2
48,2015,596,2,2
3,2015,677,2,2
97,2015,683,2,2
36,2015,684,1,2
20,2015,685,2,2
39,2015,687,1,2
15,2015,689,1,2
17,2015,690,1,2
32,2015,691,1,2
9,2015,692,2,2
43,2015,693,1,2
64,2015,694,1,2
155,2015,696,2,2
114,2015,697,1,2
82,2015,698,2,2
110,2015,699,2,2
154,2015,700,2,2
152,2015,701,1,2
56,2015,702,2,2
143,2015,703,2,2
10,2015,704,1,2
15,2015,705,2,2
47,2015,706,2,2
45,2015,707,2,2
1,2015,715,2,2
8,2015,717,2,2
30,2015,719,1,2
7,2015,726,1,2
10,2015,728,2,2
3,2015,731,1,2
13,2015,732,1,2
2,2015,733,2,2
53,2015,736,2,2
76,2015,737,1,2
54,2015,738,1,2
44,2015,739,1,2
102,2015,740,1,2
53,2015,741,2,2
107,2015,742,2,2
17,2015,744,2,2
18,2015,745,2,2
34,2015,746,2,2
53,2015,747,1,2
32,2015,748,2,2
7,2015,749,2,2
14,2015,750,1,2
1,2015,751,1,2
5,2015,753,1,2
2,2015,754,2,2
2,2015,755,1,2
9,2015,756,2,2
4,2015,759,1,2
6,2015,762,2,2
32,2015,766,2,2
45,2015,767,1,2
40,2015,770,2,2
4,2015,774,2,2
53,2015,779,2,2
124,2015,786,2,2
58,2015,788,2,2
60,2015,790,2,2
121,2015,791,2,2
48,2015,799,1,2
43,2015,800,2,2
47,2015,801,2,2
51,2015,803,2,2
45,2015,805,2,2
51,2015,807,2,2
44,2015,808,1,2
63,2015,809,2,2
38,2015,810,2,2
49,2015,811,2,2
15,2015,817,1,2
38,2015,818,1,2
59,2015,819,2,2
152,2015,827,2,2
38,2015,829,1,2
381,2015,833,2,2
99,2015,834,1,2
69,2015,835,1,2
48,2015,839,2,2
54,2015,842,2,2
37,2015,852,2,2
128,2015,855,2,2
66,2015,856,2,2
80,2015,857,1,2
75,2015,866,1,2
41,2015,870,1,2
35,2015,873,2,2
105,2015,882,2,2
103,2015,884,2,2
77,2015,885,1,2
42,2015,889,1,2
5,2015,895,1,2
41,2015,898,2,2
43,2015,902,2,2
100,2015,904,2,2
33,2015,906,2,2
33,2015,907,2,2
32,2015,908,1,2
102,2015,910,2,2
101,2015,913,2,2
48,2015,914,1,2
108,2015,915,1,2
95,2015,916,1,2
167,2015,917,1,2
158,2015,918,2,2
151,2015,919,2,2
169,2015,920,1,2
95,2015,921,1,2
146,2015,925,1,2
63,2015,926,2,2
2,2015,933,1,2
91,2015,935,2,2
26,2015,936,2,2
13,2015,937,1,2
32,2015,943,1,2
67,2015,944,2,2
45,2015,946,1,2
45,2015,947,1,2
28,2015,948,2,2
258,2015,949,2,2
156,2015,950,1,2
255,2015,951,2,2
167,2015,952,2,2
359,2015,953,2,2
80,2015,954,1,2
26,2015,955,1,2
32,2015,956,2,2
20,2015,957,2,2
50,2015,958,1,2
162,2015,959,1,2
60,2015,960,2,2
358,2015,961,2,2
165,2015,962,1,2
52,2015,964,2,2
21,2015,965,1,2
6,2015,968,1,2
5,2015,972,1,2
9,2015,973,1,2
1,2015,974,1,2
1,2015,976,1,2
1,2015,979,2,2
2,2015,983,2,2
12,2015,984,1,2
2,2015,986,1,2
5,2015,990,2,2
9,2015,992,2,2
2,2015,995,2,2
11,2015,998,2,2
38,2015,1001,1,2
2,2015,1003,2,2
3,2015,1005,2,2
1,2015,1006,2,2
15,2015,1007,1,2
35,2015,1008,2,2
20,2015,1009,1,2
22,2015,1010,1,2
127,2015,1012,2,2
8,2015,1018,1,2
2,2015,1019,2,2
22,2015,1020,2,2
2,2015,1021,1,2
13,2015,1025,1,2
22,2015,1026,2,2
11,2015,1028,1,2
6,2015,1029,2,2
6,2015,1030,1,2
23,2015,1036,1,2
4,2015,1037,1,2
86,2015,1039,1,2
145,2015,1040,2,2
22,2015,1041,1,2
29,2015,1042,1,2
30,2015,1043,2,2
93,2015,1044,1,2
40,2015,1046,1,2
23,2015,1047,2,2
8,2015,1050,2,2
69,2015,1053,2,2
49,2015,1054,1,2
35,2015,1056,2,2
28,2015,1059,1,2
