codigo_snies_del_programa,año,semestre,total,nivel_academico
26,2013.0,2,87.0,Pregrado
26,2011.0,1,104.0,Pregrado
26,2009.0,1,87.0,Pregrado
26,2013.0,1,107.0,Pregrado
26,2012.0,1,102.0,Pregrado
26,2010.0,1,99.0,Pregrado
27,2009.0,1,49.0,Pregrado
27,2010.0,1,66.0,Pregrado
27,2013.0,1,66.0,Pregrado
27,2008.0,2,63.0,Pregrado
27,2011.0,1,85.0,Pregrado
27,2008.0,1,63.0,Pregrado
27,2012.0,2,69.0,Pregrado
27,2013.0,2,60.0,Pregrado
27,2011.0,2,67.0,Pregrado
27,2007.0,2,48.0,Pregrado
27,2010.0,2,83.0,Pregrado
27,2012.0,1,75.0,Pregrado
27,2009.0,2,74.0,Pregrado
27,2007.0,1,55.0,Pregrado
28,2013.0,1,98.0,Pregrado
28,2012.0,2,92.0,Pregrado
28,2011.0,1,97.0,Pregrado
28,2011.0,2,92.0,Pregrado
28,2007.0,2,84.0,Pregrado
28,2010.0,1,94.0,Pregrado
28,2008.0,2,93.0,Pregrado
28,2010.0,2,94.0,Pregrado
28,2009.0,1,92.0,Pregrado
28,2008.0,1,85.0,Pregrado
28,2009.0,2,90.0,Pregrado
28,2012.0,1,94.0,Pregrado
28,2007.0,1,83.0,Pregrado
28,2013.0,2,80.0,Pregrado
29,2009.0,2,131.0,Pregrado
29,2013.0,2,119.0,Pregrado
29,2012.0,2,140.0,Pregrado
29,2010.0,1,141.0,Pregrado
29,2009.0,1,139.0,Pregrado
29,2012.0,1,143.0,Pregrado
29,2013.0,1,151.0,Pregrado
29,2008.0,2,137.0,Pregrado
29,2007.0,2,106.0,Pregrado
29,2010.0,2,140.0,Pregrado
29,2011.0,1,145.0,Pregrado
29,2007.0,1,108.0,Pregrado
29,2011.0,2,140.0,Pregrado
29,2008.0,1,123.0,Pregrado
30,2007.0,1,85.0,Pregrado
30,2009.0,1,71.0,Pregrado
30,2012.0,2,72.0,Pregrado
30,2010.0,1,68.0,Pregrado
30,2011.0,2,64.0,Pregrado
30,2012.0,1,77.0,Pregrado
30,2008.0,2,71.0,Pregrado
30,2013.0,1,77.0,Pregrado
30,2013.0,2,72.0,Pregrado
30,2008.0,1,70.0,Pregrado
30,2009.0,2,72.0,Pregrado
30,2011.0,1,66.0,Pregrado
30,2007.0,2,71.0,Pregrado
30,2010.0,2,63.0,Pregrado
31,2012.0,1,93.0,Pregrado
31,2007.0,1,72.0,Pregrado
31,2007.0,2,66.0,Pregrado
31,2009.0,1,62.0,Pregrado
31,2010.0,1,81.0,Pregrado
31,2013.0,1,63.0,Pregrado
31,2012.0,2,85.0,Pregrado
31,2009.0,2,73.0,Pregrado
31,2008.0,1,68.0,Pregrado
31,2010.0,2,76.0,Pregrado
31,2011.0,2,74.0,Pregrado
31,2011.0,1,82.0,Pregrado
31,2008.0,2,64.0,Pregrado
31,2013.0,2,54.0,Pregrado
32,2011.0,2,63.0,Pregrado
32,2013.0,1,66.0,Pregrado
32,2009.0,1,63.0,Pregrado
32,2007.0,2,49.0,Pregrado
32,2007.0,1,51.0,Pregrado
32,2012.0,1,104.0,Pregrado
32,2010.0,1,75.0,Pregrado
32,2012.0,2,77.0,Pregrado
32,2008.0,2,59.0,Pregrado
32,2008.0,1,79.0,Pregrado
32,2010.0,2,80.0,Pregrado
32,2011.0,1,82.0,Pregrado
32,2013.0,2,53.0,Pregrado
32,2009.0,2,61.0,Pregrado
33,2012.0,1,83.0,Pregrado
33,2012.0,2,75.0,Pregrado
33,2011.0,1,80.0,Pregrado
33,2010.0,1,85.0,Pregrado
33,2008.0,1,54.0,Pregrado
33,2009.0,1,84.0,Pregrado
33,2013.0,2,62.0,Pregrado
33,2013.0,1,82.0,Pregrado
33,2007.0,1,69.0,Pregrado
33,2009.0,2,78.0,Pregrado
33,2007.0,2,72.0,Pregrado
33,2008.0,2,73.0,Pregrado
33,2010.0,2,83.0,Pregrado
33,2011.0,2,75.0,Pregrado
34,2011.0,1,66.0,Pregrado
34,2009.0,1,44.0,Pregrado
34,2008.0,1,43.0,Pregrado
34,2010.0,2,60.0,Pregrado
34,2007.0,1,38.0,Pregrado
34,2007.0,2,41.0,Pregrado
34,2008.0,2,34.0,Pregrado
34,2013.0,1,45.0,Pregrado
34,2009.0,2,46.0,Pregrado
34,2012.0,2,49.0,Pregrado
34,2012.0,1,48.0,Pregrado
34,2010.0,1,56.0,Pregrado
34,2013.0,2,47.0,Pregrado
34,2011.0,2,55.0,Pregrado
35,2013.0,1,53.0,Pregrado
35,2011.0,1,77.0,Pregrado
35,2008.0,2,61.0,Pregrado
35,2012.0,2,71.0,Pregrado
35,2007.0,2,48.0,Pregrado
35,2012.0,1,59.0,Pregrado
35,2008.0,1,71.0,Pregrado
35,2010.0,1,87.0,Pregrado
35,2013.0,2,44.0,Pregrado
35,2009.0,1,59.0,Pregrado
35,2010.0,2,80.0,Pregrado
35,2011.0,2,52.0,Pregrado
35,2007.0,1,48.0,Pregrado
35,2009.0,2,67.0,Pregrado
36,2011.0,2,75.0,Pregrado
36,2008.0,1,66.0,Pregrado
36,2007.0,1,56.0,Pregrado
36,2013.0,2,51.0,Pregrado
36,2010.0,1,73.0,Pregrado
36,2013.0,1,63.0,Pregrado
36,2011.0,1,94.0,Pregrado
36,2009.0,1,74.0,Pregrado
36,2012.0,2,73.0,Pregrado
36,2009.0,2,69.0,Pregrado
36,2010.0,2,92.0,Pregrado
36,2007.0,2,58.0,Pregrado
36,2012.0,1,93.0,Pregrado
36,2008.0,2,67.0,Pregrado
37,2009.0,1,65.0,Pregrado
37,2013.0,1,73.0,Pregrado
37,2011.0,2,67.0,Pregrado
37,2008.0,1,69.0,Pregrado
37,2012.0,1,77.0,Pregrado
37,2007.0,1,63.0,Pregrado
37,2010.0,2,78.0,Pregrado
37,2007.0,2,68.0,Pregrado
37,2009.0,2,75.0,Pregrado
37,2013.0,2,69.0,Pregrado
37,2012.0,2,74.0,Pregrado
37,2011.0,1,82.0,Pregrado
37,2008.0,2,70.0,Pregrado
37,2010.0,1,80.0,Pregrado
38,2007.0,1,8.0,Posgrado
38,2012.0,1,5.0,Posgrado
38,2013.0,1,5.0,Posgrado
38,2010.0,1,9.0,Posgrado
38,2008.0,1,7.0,Posgrado
38,2009.0,1,7.0,Posgrado
38,2011.0,1,6.0,Posgrado
39,2013.0,1,2.0,Posgrado
39,2009.0,1,2.0,Posgrado
39,2008.0,1,2.0,Posgrado
39,2012.0,1,2.0,Posgrado
39,2007.0,1,2.0,Posgrado
39,2011.0,1,2.0,Posgrado
39,2010.0,1,2.0,Posgrado
40,2010.0,1,2.0,Posgrado
40,2008.0,1,2.0,Posgrado
40,2012.0,1,1.0,Posgrado
40,2007.0,1,3.0,Posgrado
40,2013.0,1,1.0,Posgrado
40,2009.0,1,2.0,Posgrado
40,2011.0,1,2.0,Posgrado
40,2013.0,2,1.0,Posgrado
41,2007.0,1,2.0,Posgrado
41,2008.0,1,2.0,Posgrado
41,2013.0,1,3.0,Posgrado
41,2010.0,1,3.0,Posgrado
41,2012.0,1,3.0,Posgrado
41,2009.0,1,4.0,Posgrado
41,2011.0,1,3.0,Posgrado
42,2007.0,2,12.0,Posgrado
42,2008.0,2,16.0,Posgrado
42,2011.0,1,15.0,Posgrado
42,2010.0,1,18.0,Posgrado
44,2010.0,1,5.0,Posgrado
44,2008.0,1,2.0,Posgrado
44,2011.0,1,4.0,Posgrado
44,2007.0,1,2.0,Posgrado
44,2009.0,1,6.0,Posgrado
45,2010.0,1,3.0,Posgrado
45,2012.0,1,1.0,Posgrado
45,2011.0,1,2.0,Posgrado
45,2013.0,1,2.0,Posgrado
45,2007.0,1,3.0,Posgrado
45,2009.0,1,2.0,Posgrado
46,2010.0,1,9.0,Posgrado
46,2011.0,1,8.0,Posgrado
46,2007.0,1,8.0,Posgrado
46,2009.0,1,8.0,Posgrado
46,2012.0,1,10.0,Posgrado
46,2008.0,1,10.0,Posgrado
46,2013.0,1,7.0,Posgrado
47,2011.0,1,6.0,Posgrado
47,2010.0,1,6.0,Posgrado
47,2007.0,1,5.0,Posgrado
47,2008.0,1,6.0,Posgrado
47,2013.0,1,6.0,Posgrado
47,2012.0,2,5.0,Posgrado
47,2009.0,1,5.0,Posgrado
47,2012.0,1,2.0,Posgrado
48,2011.0,1,15.0,Posgrado
48,2012.0,1,6.0,Posgrado
48,2009.0,1,10.0,Posgrado
48,2008.0,1,17.0,Posgrado
48,2010.0,1,13.0,Posgrado
48,2012.0,2,6.0,Posgrado
48,2013.0,1,5.0,Posgrado
48,2011.0,2,7.0,Posgrado
48,2013.0,2,6.0,Posgrado
48,2007.0,1,12.0,Posgrado
49,2011.0,1,1.0,Posgrado
49,2009.0,1,1.0,Posgrado
49,2010.0,1,1.0,Posgrado
49,2013.0,1,2.0,Posgrado
49,2012.0,1,1.0,Posgrado
49,2008.0,1,1.0,Posgrado
50,2012.0,2,1.0,Posgrado
50,2008.0,1,2.0,Posgrado
50,2013.0,1,2.0,Posgrado
50,2007.0,1,2.0,Posgrado
50,2011.0,1,2.0,Posgrado
50,2009.0,1,1.0,Posgrado
50,2010.0,1,2.0,Posgrado
51,2009.0,1,6.0,Posgrado
51,2007.0,1,8.0,Posgrado
51,2008.0,1,6.0,Posgrado
51,2011.0,1,5.0,Posgrado
