Codigo SNIES del programa,Año,Semestre,ID Sexo,Inscripciones
1774,2020,2,1,1
1776,2020,2,1,1
1778,2020,2,1,119
1779,2020,2,2,533
1780,2020,2,2,119
1781,2020,2,1,3
1783,2020,2,2,204
1784,2020,2,2,99
1786,2020,2,1,399
1787,2020,2,1,3
1790,2020,2,1,41
1791,2020,2,1,192
1792,2020,2,2,212
1793,2020,2,2,85
1795,2020,2,2,75
1796,2020,2,1,184
1797,2020,2,2,1
1798,2020,2,2,110
1799,2020,2,1,1
1800,2020,2,1,11
1801,2020,2,1,18
1802,2020,2,1,41
1805,2020,2,1,8
1806,2020,2,1,7
1807,2020,2,1,271
1813,2020,2,2,340
1814,2020,2,2,32
1815,2020,2,2,122
1816,2020,2,1,78
1817,2020,2,2,137
1818,2020,2,1,54
1819,2020,2,1,45
1820,2020,2,1,59
1821,2020,2,1,83
1822,2020,2,2,54
1823,2020,2,1,17
1827,2020,2,2,24
1828,2020,2,2,8
1834,2020,2,2,58
1837,2020,2,1,20
1838,2020,2,1,271
1840,2020,2,1,44
1841,2020,2,1,49
1846,2020,2,2,14
1847,2020,2,2,34
1850,2020,2,2,5
1853,2020,2,2,22
1854,2020,2,1,11
1855,2020,2,2,21
1856,2020,2,1,17
1870,2020,2,1,82
1872,2020,2,2,5
1874,2020,2,2,3
1875,2020,2,2,19
1877,2020,2,1,141
1878,2020,2,1,19
1881,2020,2,2,18
1883,2020,2,1,59
1884,2020,2,2,13
1892,2020,2,2,110
1893,2020,2,1,50
1894,2020,2,1,133
1895,2020,2,1,89
1914,2020,2,2,5
1915,2020,2,2,56
1916,2020,2,2,21
1918,2020,2,1,20
1919,2020,2,1,13
1928,2020,2,1,46
1936,2020,2,1,4
1942,2020,2,2,8
1944,2020,2,1,4
1946,2020,2,2,4
1950,2020,2,1,23
1956,2020,2,1,60
1958,2020,2,1,140
1980,2020,2,1,118
1981,2020,2,1,72
1982,2020,2,2,24
1983,2020,2,1,74
1984,2020,2,1,131
1985,2020,2,2,21
1988,2020,2,1,16
1989,2020,2,2,25
1991,2020,2,2,88
2004,2020,2,1,46
2009,2020,2,1,4
2016,2020,2,1,69
2026,2020,2,2,95
2037,2020,2,2,6
2039,2020,2,2,47
2040,2020,2,2,40
2046,2020,2,2,30
2048,2020,2,1,7
2049,2020,2,1,14
2051,2020,2,1,66
2052,2020,2,1,166
2053,2020,2,2,2
2054,2020,2,2,32
2055,2020,2,1,9
2056,2020,2,2,16
2063,2020,2,1,48
2065,2020,2,2,54
2068,2020,2,1,39
2069,2020,2,2,33
2070,2020,2,1,98
2071,2020,2,2,23
2076,2020,2,1,176
2078,2020,2,2,62
2095,2020,2,2,5
2111,2020,2,1,2
2115,2020,2,1,21
2131,2020,2,2,23
2134,2020,2,2,64
