Código SNIES del programa,Año,Semestre,ID Sexo,Inscripciones 2020
216,2020,1,1,161
217,2020,1,1,254
218,2020,1,2,160
222,2020,1,1,103
223,2020,1,1,123
224,2020,1,1,66
229,2020,1,2,137
230,2020,1,1,467
232,2020,1,1,118
233,2020,1,1,637
234,2020,1,1,256
235,2020,1,1,312
236,2020,1,2,515
238,2020,1,2,226
245,2020,1,2,53
246,2020,1,2,30
252,2020,1,1,1
257,2020,1,1,129
260,2020,1,2,115
263,2020,1,2,201
267,2020,1,2,522
268,2020,1,1,314
269,2020,1,2,339
270,2020,1,1,189
271,2020,1,2,416
272,2020,1,2,220
275,2020,1,2,8
276,2020,1,2,17
278,2020,1,1,9
279,2020,1,1,18
281,2020,1,2,16
282,2020,1,1,4
283,2020,1,1,246
284,2020,1,1,97
288,2020,1,1,389
289,2020,1,2,15
290,2020,1,1,4
291,2020,1,1,13
292,2020,1,2,8
293,2020,1,1,140
294,2020,1,1,5
296,2020,1,2,4
303,2020,1,1,1
320,2020,1,1,275
325,2020,1,1,425
326,2020,1,1,78
327,2020,1,1,132
337,2020,1,1,157
338,2020,1,1,351
340,2020,1,2,201
341,2020,1,1,61
342,2020,1,2,93
343,2020,1,2,9
347,2020,1,2,202
351,2020,1,1,63
354,2020,1,1,1
361,2020,1,1,433
362,2020,1,1,143
363,2020,1,1,209
364,2020,1,2,127
365,2020,1,1,272
366,2020,1,2,78
367,2020,1,2,4
368,2020,1,2,100
369,2020,1,1,32
370,2020,1,1,105
371,2020,1,2,7
372,2020,1,2,51
374,2020,1,1,27
375,2020,1,1,149
377,2020,1,1,3
378,2020,1,1,38
379,2020,1,2,33
380,2020,1,2,34
382,2020,1,2,158
383,2020,1,2,83
384,2020,1,2,10
385,2020,1,2,87
386,2020,1,2,29
388,2020,1,1,62
389,2020,1,1,5
390,2020,1,2,29
391,2020,1,1,105
394,2020,1,1,7
395,2020,1,2,45
401,2020,1,2,96
403,2020,1,2,1591
404,2020,1,1,318
405,2020,1,1,346
406,2020,1,2,6
407,2020,1,1,33
412,2020,1,1,75
413,2020,1,1,498
417,2020,1,2,67
426,2020,1,2,378
427,2020,1,1,1117
429,2020,1,1,855
430,2020,1,1,1063
431,2020,1,1,197
432,2020,1,1,46
434,2020,1,1,1508
435,2020,1,1,516
436,2020,1,2,179
437,2020,1,1,1933
438,2020,1,2,414
439,2020,1,1,1264
440,2020,1,1,893
441,2020,1,2,122
442,2020,1,2,166
444,2020,1,2,1433
445,2020,1,2,271
446,2020,1,2,312
448,2020,1,2,681
450,2020,1,1,357
451,2020,1,1,122
452,2020,1,1,348
453,2020,1,1,226
454,2020,1,2,117
455,2020,1,2,114
456,2020,1,1,368
483,2020,1,1,24
494,2020,1,2,9
504,2020,1,1,19
507,2020,1,1,4
510,2020,1,2,19
511,2020,1,1,20
513,2020,1,2,18
515,2020,1,1,12
517,2020,1,1,13
521,2020,1,1,15
522,2020,1,1,263
523,2020,1,1,124
530,2020,1,2,1545
531,2020,1,1,1632
532,2020,1,1,773
535,2020,1,1,1592
536,2020,1,1,1013
537,2020,1,1,710
538,2020,1,2,910
539,2020,1,2,530
683,2020,1,1,90
684,2020,1,2,143
685,2020,1,1,87
687,2020,1,1,100
689,2020,1,1,129
690,2020,1,1,112
691,2020,1,2,991
692,2020,1,1,183
693,2020,1,1,182
694,2020,1,1,103
696,2020,1,2,422
697,2020,1,2,137
698,2020,1,1,289
699,2020,1,1,148
700,2020,1,1,380
701,2020,1,2,297
702,2020,1,1,100
703,2020,1,1,264
704,2020,1,1,130
705,2020,1,1,123
706,2020,1,2,187
707,2020,1,2,93
709,2020,1,2,3
710,2020,1,2,4
711,2020,1,1,5
712,2020,1,2,1
713,2020,1,1,1
714,2020,1,1,4
716,2020,1,2,3
717,2020,1,1,39
728,2020,1,2,6
731,2020,1,1,1
732,2020,1,1,8
733,2020,1,1,1
736,2020,1,1,461
737,2020,1,2,2807
738,2020,1,2,396
739,2020,1,1,624
740,2020,1,2,964
741,2020,1,2,113
742,2020,1,1,265
744,2020,1,1,50
745,2020,1,1,56
746,2020,1,2,97
747,2020,1,1,736
748,2020,1,1,153
759,2020,1,1,1
761,2020,1,1,33
766,2020,1,1,30
770,2020,1,1,73
774,2020,1,1,10
775,2020,1,1,4
777,2020,1,2,272
783,2020,1,2,253
789,2020,1,2,827
791,2020,1,1,183
794,2020,1,2,47
799,2020,1,1,58
801,2020,1,2,234
803,2020,1,2,53
805,2020,1,1,59
807,2020,1,1,190
808,2020,1,1,95
809,2020,1,1,12
810,2020,1,1,104
811,2020,1,1,93
818,2020,1,1,27
819,2020,1,1,44
831,2020,1,1,660
834,2020,1,2,260
835,2020,1,2,336
839,2020,1,2,70
842,2020,1,2,73
852,2020,1,1,308
855,2020,1,2,292
856,2020,1,2,259
857,2020,1,1,72
870,2020,1,1,292
873,2020,1,1,45
882,2020,1,1,148
884,2020,1,1,117
885,2020,1,2,186
889,2020,1,1,107
895,2020,1,1,17
898,2020,1,2,223
902,2020,1,2,56
906,2020,1,1,427
907,2020,1,2,293
908,2020,1,1,171
913,2020,1,2,132
915,2020,1,1,212
916,2020,1,1,174
917,2020,1,1,250
918,2020,1,1,1097
919,2020,1,1,528
920,2020,1,1,860
921,2020,1,1,161
925,2020,1,1,158
926,2020,1,1,135
933,2020,1,1,5
936,2020,1,2,12
937,2020,1,2,5
943,2020,1,1,77
944,2020,1,2,92
946,2020,1,1,99
947,2020,1,1,78
949,2020,1,1,327
950,2020,1,1,245
951,2020,1,1,457
952,2020,1,2,223
953,2020,1,2,516
954,2020,1,1,90
955,2020,1,2,39
956,2020,1,2,31
957,2020,1,2,54
958,2020,1,1,75
959,2020,1,1,203
960,2020,1,1,116
961,2020,1,2,263
962,2020,1,1,291
964,2020,1,1,84
965,2020,1,1,49
967,2020,1,2,135
969,2020,1,2,165
971,2020,1,2,21
973,2020,1,2,244
974,2020,1,1,3
975,2020,1,1,1
976,2020,1,1,43
977,2020,1,2,59
978,2020,1,2,10
979,2020,1,1,62
980,2020,1,1,65
981,2020,1,2,170
982,2020,1,2,88
983,2020,1,1,12
985,2020,1,2,26
986,2020,1,2,117
988,2020,1,1,77
990,2020,1,1,86
991,2020,1,1,61
998,2020,1,2,25
999,2020,1,2,53
1001,2020,1,1,76
1003,2020,1,1,104
1005,2020,1,2,50
1006,2020,1,1,31
1007,2020,1,2,10
1008,2020,1,1,49
1009,2020,1,1,48
1010,2020,1,2,18
1012,2020,1,1,48
1018,2020,1,1,3
1019,2020,1,2,13
1020,2020,1,2,12
1021,2020,1,1,8
1026,2020,1,2,18
1027,2020,1,1,43
1028,2020,1,1,18
1029,2020,1,1,12
1030,2020,1,2,19
1033,2020,1,1,19
1036,2020,1,2,22
1037,2020,1,1,15
1038,2020,1,1,3
1039,2020,1,1,61
1040,2020,1,1,86
1041,2020,1,2,21
1042,2020,1,2,34
1043,2020,1,1,24
1044,2020,1,2,41
1046,2020,1,1,39
1047,2020,1,1,48
1053,2020,1,1,10
1054,2020,1,1,26
1056,2020,1,2,20
1061,2020,1,1,5
1062,2020,1,1,12
1063,2020,1,1,37
1079,2020,1,1,51
1080,2020,1,1,194
1081,2020,1,1,61
1082,2020,1,1,34
1083,2020,1,2,61
1084,2020,1,1,115
1085,2020,1,1,56
1086,2020,1,1,89
1087,2020,1,2,71
1088,2020,1,1,16
1091,2020,1,1,13
1092,2020,1,1,5
1094,2020,1,1,8
1096,2020,1,1,23
1097,2020,1,2,129
1098,2020,1,1,204
1099,2020,1,1,17
1101,2020,1,1,29
1102,2020,1,1,31
1103,2020,1,1,130
1104,2020,1,1,30
1110,2020,1,1,158
1111,2020,1,1,31
1112,2020,1,1,596
1113,2020,1,1,71
1114,2020,1,1,277
1115,2020,1,1,167
1116,2020,1,1,80
1117,2020,1,1,42
1120,2020,1,2,35
1125,2020,1,1,27
1126,2020,1,1,47
1136,2020,1,2,34
1138,2020,1,2,24
1143,2020,1,1,110
1144,2020,1,1,80
1146,2020,1,1,77
1147,2020,1,2,89
1148,2020,1,2,31
1149,2020,1,2,13
1151,2020,1,2,55
1152,2020,1,2,55
1155,2020,1,2,27
1156,2020,1,2,23
1158,2020,1,2,57
1166,2020,1,1,52
1169,2020,1,2,85
1170,2020,1,1,132
1172,2020,1,2,39
1173,2020,1,1,69
1175,2020,1,1,124
1176,2020,1,2,56
1178,2020,1,2,101
1179,2020,1,1,44
1180,2020,1,2,58
1192,2020,1,2,137
1193,2020,1,2,68
1195,2020,1,2,185
1196,2020,1,2,84
1197,2020,1,1,20
1199,2020,1,1,36
1200,2020,1,1,40
1201,2020,1,1,35
1202,2020,1,2,99
1203,2020,1,2,108
1205,2020,1,2,253
1216,2020,1,2,5
1217,2020,1,1,27
1218,2020,1,2,14
1219,2020,1,2,12
1220,2020,1,2,35
1224,2020,1,2,11
1227,2020,1,1,20
1228,2020,1,2,1
1229,2020,1,2,5
1236,2020,1,1,126
1237,2020,1,1,335
1238,2020,1,2,230
1239,2020,1,1,379
1240,2020,1,1,202
1241,2020,1,2,26
1242,2020,1,1,19
1244,2020,1,1,176
1245,2020,1,1,368
1246,2020,1,1,28
1247,2020,1,2,126
1248,2020,1,1,137
1249,2020,1,1,36
1250,2020,1,1,100
1251,2020,1,1,65
1252,2020,1,1,63
1254,2020,1,2,67
1256,2020,1,1,24
1259,2020,1,2,17
1261,2020,1,1,1
1264,2020,1,2,15
1265,2020,1,2,86
1266,2020,1,1,14
1267,2020,1,1,41
1268,2020,1,2,124
1269,2020,1,2,754
1270,2020,1,1,367
1271,2020,1,1,429
1272,2020,1,1,253
1273,2020,1,1,354
1275,2020,1,2,85
1276,2020,1,1,387
1277,2020,1,2,247
1283,2020,1,1,1
1291,2020,1,2,32
1293,2020,1,1,154
1294,2020,1,2,36
1295,2020,1,2,1021
1296,2020,1,2,20
1297,2020,1,2,553
1298,2020,1,1,158
1299,2020,1,1,132
1300,2020,1,1,18
1301,2020,1,1,100
1302,2020,1,1,13
1303,2020,1,2,105
1305,2020,1,1,55
1307,2020,1,2,193
1310,2020,1,1,53
1311,2020,1,1,50
1312,2020,1,1,131
1313,2020,1,2,73
1315,2020,1,2,119
1316,2020,1,1,56
1317,2020,1,1,83
1319,2020,1,2,7
1323,2020,1,1,109
1324,2020,1,1,13
1325,2020,1,2,47
1326,2020,1,1,40
1328,2020,1,1,32
1335,2020,1,2,37
1336,2020,1,2,38
1337,2020,1,1,72
1338,2020,1,1,119
1339,2020,1,1,111
1347,2020,1,2,17
1348,2020,1,1,45
1349,2020,1,1,19
1350,2020,1,1,78
1361,2020,1,2,55
1363,2020,1,2,15
1365,2020,1,1,4
1371,2020,1,1,24
1372,2020,1,2,18
1380,2020,1,2,150
1381,2020,1,1,474
1385,2020,1,2,66
1386,2020,1,2,288
1387,2020,1,1,23
1389,2020,1,1,9
1394,2020,1,2,60
1395,2020,1,1,68
1396,2020,1,2,85
1399,2020,1,2,63
1402,2020,1,1,67
1403,2020,1,1,60
1409,2020,1,2,101
1412,2020,1,1,25
1415,2020,1,2,40
1422,2020,1,1,428
1426,2020,1,1,314
