año,codigo snies del programa,id genero,inscritos,semestre
2016,400,1,16,2
2016,401,2,147,2
2016,403,2,1174,2
2016,404,1,207,2
2016,405,2,249,2
2016,406,2,12,2
2016,407,2,34,2
2016,412,1,90,2
2016,413,2,464,2
2016,417,2,56,2
2016,420,2,411,2
2016,426,2,278,2
2016,427,1,1147,2
2016,429,1,752,2
2016,430,2,792,2
2016,431,2,240,2
2016,432,2,57,2
2016,434,2,1288,2
2016,435,1,446,2
2016,436,1,162,2
2016,437,1,982,2
2016,438,1,210,2
2016,439,1,645,2
2016,440,1,493,2
2016,441,2,89,2
2016,442,1,118,2
2016,444,1,529,2
2016,445,1,187,2
2016,446,1,227,2
2016,448,2,400,2
2016,450,2,252,2
2016,451,2,154,2
2016,452,2,317,2
2016,453,1,111,2
2016,454,1,100,2
2016,455,1,136,2
2016,456,1,301,2
2016,458,1,209,2
2016,460,1,161,2
2016,462,1,122,2
2016,463,1,70,2
2016,464,2,474,2
2016,465,1,2,2
2016,466,2,61,2
2016,467,2,95,2
2016,468,2,68,2
2016,469,2,133,2
2016,471,2,39,2
2016,472,1,304,2
2016,473,1,59,2
2016,474,2,226,2
2016,476,2,7,2
2016,477,2,67,2
2016,478,1,110,2
2016,479,2,156,2
2016,481,2,32,2
2016,484,1,362,2
2016,485,1,22,2
2016,489,2,8,2
2016,494,2,22,2
2016,511,1,36,2
2016,515,1,20,2
2016,516,2,20,2
2016,517,1,6,2
2016,519,1,11,2
2016,521,1,9,2
2016,549,2,120,2
2016,551,1,65,2
2016,555,2,138,2
2016,565,1,233,2
2016,566,2,424,2
2016,568,1,294,2
2016,569,1,142,2
2016,571,1,178,2
2016,572,1,238,2
2016,576,1,112,2
2016,577,2,314,2
2016,578,1,176,2
2016,579,1,175,2
2016,580,1,286,2
2016,581,1,221,2
2016,591,1,404,2
2016,594,1,138,2
2016,596,1,131,2
2016,677,2,9,2
2016,683,2,141,2
2016,684,2,40,2
2016,685,1,24,2
2016,687,1,33,2
2016,690,2,45,2
2016,693,1,46,2
2016,694,1,70,2
2016,696,2,154,2
2016,697,2,69,2
2016,698,2,83,2
2016,699,1,113,2
2016,700,1,149,2
2016,701,2,112,2
2016,702,2,33,2
2016,703,2,130,2
2016,706,1,51,2
2016,707,2,38,2
2016,717,2,7,2
2016,728,2,4,2
2016,731,2,1,2
2016,732,1,5,2
2016,733,2,2,2
2016,736,2,374,2
2016,737,2,1650,2
2016,738,2,277,2
2016,739,2,402,2
2016,740,1,553,2
2016,741,2,87,2
2016,742,2,442,2
2016,744,1,25,2
2016,745,1,22,2
2016,746,2,65,2
2016,747,2,134,2
2016,748,1,71,2
2016,749,1,130,2
2016,750,1,302,2
2016,751,2,31,2
2016,753,2,118,2
2016,754,1,55,2
2016,755,1,22,2
2016,756,2,191,2
2016,759,2,70,2
2016,762,1,242,2
2016,766,2,78,2
2016,770,1,93,2
2016,771,2,16,2
2016,774,1,11,2
2016,776,2,5,2
2016,779,1,136,2
2016,786,2,599,2
2016,788,1,316,2
2016,789,1,1,2
2016,790,1,254,2
2016,791,2,140,2
2016,794,1,29,2
2016,799,2,58,2
2016,800,1,64,2
2016,801,2,155,2
2016,803,1,32,2
2016,805,1,31,2
2016,807,2,159,2
2016,808,1,105,2
2016,809,1,18,2
2016,810,2,94,2
2016,811,1,100,2
2016,817,1,11,2
2016,818,2,34,2
2016,819,2,61,2
2016,827,1,310,2
2016,829,2,29,2
2016,834,1,243,2
2016,835,1,235,2
2016,839,2,55,2
2016,842,1,81,2
2016,852,1,237,2
2016,855,2,281,2
2016,856,1,103,2
2016,857,1,65,2
2016,863,2,6,2
2016,866,2,212,2
2016,870,1,165,2
2016,873,1,88,2
2016,882,2,1495,2
2016,884,2,380,2
2016,885,1,721,2
2016,889,2,85,2
2016,902,2,71,2
2016,904,2,111,2
2016,906,2,280,2
2016,907,2,220,2
2016,908,1,127,2
2016,910,2,295,2
2016,913,1,72,2
2016,914,1,66,2
2016,915,1,189,2
2016,916,1,129,2
2016,917,2,291,2
2016,918,1,536,2
2016,919,2,355,2
2016,920,1,718,2
2016,921,2,148,2
2016,925,1,238,2
2016,926,2,183,2
2016,933,1,3,2
2016,935,1,102,2
2016,936,2,13,2
2016,937,1,16,2
2016,943,1,45,2
2016,944,2,103,2
2016,946,1,158,2
2016,947,2,74,2
2016,948,2,17,2
2016,949,1,434,2
2016,950,1,394,2
2016,951,1,557,2
2016,952,1,209,2
2016,953,1,540,2
2016,954,2,79,2
2016,955,1,47,2
2016,956,2,43,2
2016,957,1,13,2
2016,958,2,86,2
2016,959,1,232,2
2016,960,1,93,2
2016,961,1,402,2
2016,962,2,385,2
2016,964,1,63,2
2016,965,2,24,2
2016,968,1,76,2
2016,972,1,34,2
2016,973,1,191,2
2016,974,2,2,2
2016,975,1,1,2
2016,976,2,30,2
2016,979,1,38,2
2016,983,1,2,2
2016,984,2,155,2
2016,986,1,2,2
2016,990,1,29,2
2016,992,1,12,2
2016,995,1,5,2
2016,998,2,13,2
2016,1001,2,61,2
2016,1003,1,1,2
2016,1006,2,1,2
2016,1007,2,14,2
2016,1008,2,66,2
2016,1009,1,86,2
2016,1010,1,24,2
2016,1012,2,345,2
2016,1018,2,5,2
2016,1020,2,6,2
2016,1021,1,5,2
2016,1025,1,10,2
2016,1027,1,32,2
2016,1028,1,7,2
2016,1029,2,12,2
2016,1030,1,1,2
2016,1036,1,33,2
2016,1037,1,4,2
2016,1038,2,2,2
2016,1039,2,104,2
2016,1040,1,202,2
2016,1041,2,16,2
2016,1042,2,40,2
2016,1043,2,20,2
2016,1044,1,82,2
2016,1046,2,56,2
2016,1047,1,13,2
2016,1048,1,60,2
2016,1050,2,15,2
2016,1053,1,136,2
2016,1054,2,97,2
2016,1056,2,46,2
2016,1059,2,58,2
2016,1060,2,12,2
2016,1061,2,39,2
2016,1062,2,27,2
2016,1063,1,11,2
2016,1078,1,90,2
2016,1079,1,53,2
2016,1080,2,156,2
2016,1081,2,63,2
2016,1082,1,134,2
2016,1083,2,71,2
2016,1084,2,147,2
2016,1085,2,21,2
2016,1086,2,60,2
2016,1087,2,71,2
2016,1088,1,18,2
2016,1091,2,27,2
2016,1092,1,17,2
2016,1094,2,7,2
2016,1096,2,26,2
2016,1097,2,94,2
2016,1098,1,106,2
2016,1099,2,13,2
2016,1101,1,10,2
2016,1102,1,40,2
2016,1103,1,87,2
2016,1104,1,30,2
2016,1110,2,117,2
2016,1111,1,30,2
2016,1112,1,353,2
2016,1113,1,53,2
2016,1114,1,204,2
2016,1115,1,114,2
2016,1116,1,55,2
2016,1117,2,25,2
2016,1120,1,115,2
2016,1121,1,19,2
2016,1125,1,109,2
2016,1126,1,73,2
2016,1130,1,15,2
2016,1131,1,17,2
2016,1136,1,2,2
2016,1138,2,70,2
2016,1143,1,101,2
2016,1144,1,125,2
2016,1146,2,119,2
2016,1147,2,133,2
2016,1148,1,43,2
2016,1149,1,19,2
2016,1151,2,62,2
2016,1152,1,56,2
2016,1153,2,1,2
2016,1155,2,76,2
2016,1156,2,23,2
2016,1158,2,36,2
2016,1166,2,33,2
