Año,Código SNIES del programa,Id Género,Inscritos 2016,Semestre
continuous,continuous,1 2,continuous,1 2
,,,,
2016,54034,1,35,1
2016,54036,1,4,1
2016,54577,1,21,1
2016,55022,1,38,1
2016,55024,1,7,1
2016,55027,1,11,1
2016,55123,1,5,1
2016,55124,1,4,1
2016,55129,1,10,1
2016,55136,1,34,1
2016,55147,1,6,1
2016,55148,1,5,1
2016,55182,1,9,1
2016,55186,1,8,1
2016,55187,1,5,1
2016,55209,1,17,1
2016,101794,1,38,1
2016,102404,1,3,1
2016,102832,1,4,1
2016,103196,1,3,1
2016,103551,1,4,1
2016,103552,1,38,1
2016,103554,1,10,1
2016,104924,1,5,1
2016,115,1,1,1
2016,116,1,1,1
2016,117,1,1,1
2016,119,1,2,1
2016,132,1,9,1
2016,134,1,19,1
2016,136,1,8,1
2016,137,1,5,1
2016,139,1,18,1
2016,140,1,12,1
2016,141,1,7,1
2016,142,1,7,1
2016,2501,1,2,1
2016,2503,1,4,1
2016,2505,1,3,1
2016,2506,1,27,1
2016,2507,1,1,1
2016,2706,1,1,1
2016,3194,1,41,1
2016,16922,1,1,1
2016,16925,1,3,1
2016,16927,1,1,1
2016,16932,1,6,1
2016,16933,1,28,1
2016,16934,1,2,1
2016,16936,1,3,1
2016,19861,1,6,1
2016,19864,1,4,1
2016,19865,1,6,1
2016,19866,1,5,1
2016,19867,1,6,1
2016,19887,1,8,1
2016,19888,1,2,1
2016,19889,1,6,1
2016,19890,1,1,1
2016,19971,1,4,1
2016,21553,1,5,1
2016,21554,1,4,1
2016,21555,1,19,1
2016,51669,1,4,1
2016,51670,1,1,1
2016,51671,1,11,1
2016,51672,1,2,1
2016,52737,1,5,1
2016,52751,1,2,1
2016,52752,1,10,1
2016,52753,1,5,1
2016,52754,1,2,1
2016,52973,1,34,1
2016,52974,1,19,1
2016,55126,1,2,1
2016,55127,1,2,1
2016,55144,1,30,1
2016,55146,1,1,1
2016,55152,1,6,1
2016,55183,1,4,1
2016,55188,1,1,1
2016,90701,1,7,1
2016,91523,1,6,1
2016,101467,1,20,1
2016,101984,1,3,1
2016,102077,1,11,1
2016,102566,1,16,1
2016,102864,1,1,1
2016,102865,1,7,1
2016,103553,1,4,1
2016,104508,1,3,1
2016,104510,1,5,1
2016,104511,1,13,1
2016,104512,1,8,1
2016,104790,1,26,1
2016,4120,1,1,1
2016,4121,1,7,1
2016,4122,1,7,1
2016,4123,1,2,1
2016,4124,1,3,1
2016,4125,1,5,1
2016,4126,1,5,1
2016,4129,1,10,1
2016,16911,1,1,1
2016,16912,1,10,1
2016,16914,1,8,1
2016,16915,1,10,1
2016,16916,1,4,1
2016,19924,1,5,1
2016,19926,1,4,1
2016,19969,1,22,1
2016,20493,1,6,1
2016,51673,1,13,1
2016,52755,1,7,1
2016,54035,1,5,1
2016,55025,1,4,1
2016,55030,1,17,1
2016,55133,1,9,1
2016,55134,1,45,1
2016,55135,1,21,1
2016,55139,1,5,1
2016,55140,1,28,1
2016,55184,1,7,1
2016,55190,1,19,1
2016,101582,1,34,1
2016,101983,1,2,1
2016,103154,1,1,1
2016,103555,1,5,1
2016,103556,1,5,1
2016,103822,1,14,1
2016,104319,1,3,1
2016,104507,1,10,1
2016,19859,1,3,1
2016,20488,1,16,1
2016,20489,1,3,1
2016,55131,1,3,1
2016,55145,1,27,1
2016,90700,1,3,1
2016,91335,1,10,1
2016,146,1,294,1
2016,147,1,57,1
2016,149,1,180,1
2016,150,1,25,1
2016,151,1,832,1
2016,153,1,293,1
