Año,Codigo SNIES del programa,ID Sexo,Inscripciones,Semestre
2017,142,2,11,1
2017,143,2,2,1
2017,144,2,1,1
2017,146,1,405,1
2017,147,2,56,1
2017,149,2,791,1
2017,151,2,1025,1
2017,153,1,971,1
2017,155,2,61,1
2017,156,2,82,1
2017,157,1,198,1
2017,158,1,140,1
2017,159,1,234,1
2017,161,1,10,1
2017,162,1,5,1
2017,169,2,118,1
2017,170,2,30,1
2017,172,1,38,1
2017,173,1,15,1
2017,175,1,75,1
2017,176,2,65,1
2017,177,2,69,1
2017,178,2,88,1
2017,180,1,188,1
2017,181,2,69,1
2017,182,1,135,1
2017,189,1,168,1
2017,190,2,188,1
2017,191,1,100,1
2017,192,1,68,1
2017,193,1,98,1
2017,194,1,4,1
2017,195,2,9,1
2017,197,2,8,1
2017,204,1,14,1
2017,205,1,4,1
2017,207,1,11,1
2017,210,2,41,1
2017,212,1,44,1
2017,213,1,41,1
2017,215,1,26,1
2017,216,1,29,1
2017,217,1,26,1
2017,218,1,19,1
2017,222,1,139,1
2017,223,1,81,1
2017,224,1,112,1
2017,225,1,1,1
2017,229,2,136,1
2017,230,1,1627,1
2017,232,2,204,1
2017,233,1,2042,1
2017,234,2,718,1
2017,235,2,824,1
2017,236,2,1973,1
2017,238,1,746,1
2017,245,2,34,1
2017,246,1,48,1
2017,252,2,4,1
2017,256,2,14,1
2017,257,2,214,1
2017,258,1,153,1
2017,260,2,129,1
2017,263,2,220,1
2017,266,2,94,1
2017,267,2,1205,1
2017,268,2,519,1
2017,269,1,612,1
2017,270,2,290,1
2017,271,2,870,1
2017,272,2,383,1
2017,275,2,13,1
2017,276,1,54,1
2017,278,1,10,1
2017,281,2,13,1
2017,282,1,195,1
2017,283,1,5,1
2017,284,2,2,1
2017,288,1,139,1
2017,289,2,35,1
2017,290,2,512,1
2017,291,1,617,1
2017,292,1,59,1
2017,293,1,168,1
2017,294,2,236,1
2017,295,2,1,1
2017,296,1,10,1
2017,297,1,3,1
2017,298,1,3,1
2017,302,2,3,1
2017,303,1,3,1
2017,305,2,3,1
2017,306,2,2,1
2017,308,1,3,1
2017,311,1,18,1
2017,313,2,12,1
2017,315,1,6,1
2017,320,1,11,1
2017,321,2,3,1
2017,325,1,912,1
2017,326,1,28,1
2017,327,1,129,1
2017,337,2,230,1
2017,338,1,460,1
2017,340,1,478,1
2017,341,2,78,1
2017,342,1,235,1
2017,343,2,16,1
2017,344,1,8,1
2017,347,2,162,1
2017,351,1,78,1
2017,352,1,180,1
2017,358,1,1,1
2017,361,2,21,1
2017,362,1,116,1
2017,363,1,209,1
2017,364,1,96,1
2017,365,2,239,1
2017,366,1,154,1
2017,367,1,8,1
2017,368,1,133,1
2017,369,1,29,1
2017,370,2,53,1
2017,371,1,7,1
2017,372,1,87,1
2017,374,1,41,1
2017,375,1,236,1
2017,378,1,26,1
2017,379,2,43,1
2017,380,1,33,1
2017,382,1,143,1
2017,383,1,74,1
2017,384,2,11,1
2017,385,2,162,1
2017,386,1,29,1
2017,388,2,40,1
2017,389,2,6,1
2017,390,1,31,1
2017,391,2,66,1
2017,394,1,13,1
2017,395,1,58,1
2017,400,2,15,1
2017,401,2,120,1
2017,403,1,1660,1
2017,404,2,246,1
2017,405,2,336,1
2017,406,2,4,1
2017,407,1,57,1
2017,412,1,116,1
2017,413,1,632,1
2017,417,2,55,1
2017,420,1,559,1
2017,426,2,323,1
2017,427,1,1632,1
2017,429,2,881,1
2017,430,2,1474,1
2017,431,2,204,1
2017,432,1,72,1
2017,434,2,2085,1
2017,435,2,689,1
2017,436,2,185,1
2017,437,2,1796,1
2017,438,2,347,1
2017,439,2,1369,1
2017,440,2,846,1
2017,441,1,118,1
2017,442,2,143,1
2017,444,1,1278,1
2017,445,1,299,1
2017,446,1,412,1
2017,448,1,911,1
2017,450,1,415,1
2017,451,1,90,1
2017,452,1,418,1
2017,453,1,136,1
2017,454,1,129,1
2017,455,2,161,1
2017,456,1,323,1
2017,478,1,30,1
2017,489,2,3,1
2017,494,1,7,1
2017,503,1,35,1
2017,504,2,29,1
2017,513,2,3,1
2017,515,1,15,1
2017,516,2,19,1
2017,517,2,5,1
2017,519,1,14,1
2017,521,1,2,1
2017,522,1,363,1
2017,523,1,285,1
2017,530,2,3384,1
2017,531,2,3100,1
2017,532,1,906,1
2017,535,1,3464,1
2017,536,2,1829,1
2017,537,2,872,1
2017,538,1,1900,1
2017,539,2,535,1
2017,549,2,2,1
2017,555,1,4,1
2017,565,2,2,1
2017,566,2,3,1
2017,571,2,1,1
2017,576,2,2,1
2017,579,1,2,1
2017,581,2,1,1
2017,594,1,5,1
2017,596,1,1,1
2017,677,1,20,1
2017,683,2,145,1
2017,684,1,152,1
2017,685,2,83,1
2017,687,2,77,1
2017,689,1,247,1
2017,690,2,142,1
2017,691,1,1175,1
2017,692,2,171,1
2017,693,2,211,1
2017,694,2,127,1
2017,696,2,772,1
2017,697,1,206,1
2017,698,1,302,1
2017,699,1,215,1
2017,700,2,659,1
2017,701,1,561,1
2017,702,1,135,1
2017,703,1,351,1
2017,704,1,108,1
2017,705,1,86,1
2017,706,2,303,1
2017,707,2,113,1
2017,709,1,3,1
2017,710,2,4,1
2017,711,2,6,1
2017,712,1,1,1
2017,713,1,1,1
2017,714,2,4,1
2017,716,2,4,1
2017,728,1,2,1
2017,731,2,1,1
2017,733,1,4,1
2017,736,1,487,1
2017,737,2,3140,1
2017,738,1,465,1
2017,739,2,680,1
2017,740,2,1097,1
2017,741,2,115,1
2017,742,1,638,1
2017,744,1,29,1
2017,745,1,33,1
2017,746,1,91,1
2017,747,2,1084,1
2017,748,1,149,1
2017,761,2,22,1
2017,766,2,65,1
2017,767,1,85,1
2017,770,1,61,1
2017,771,1,27,1
2017,774,1,12,1
2017,775,1,1,1
2017,777,1,153,1
2017,783,1,160,1
2017,789,1,741,1
