codigo snies del programa,año,semestre,total
19897.0,2000,1,0.0
19899.0,2000,1,0.0
19900.0,2000,1,0.0
19901.0,2000,1,0.0
19902.0,2000,1,0.0
19903.0,2000,1,0.0
19904.0,2000,1,0.0
19905.0,2000,1,0.0
19906.0,2000,1,0.0
19907.0,2000,1,0.0
19908.0,2000,1,0.0
19909.0,2000,1,0.0
19910.0,2000,1,0.0
19911.0,2000,1,0.0
19912.0,2000,1,0.0
19913.0,2000,1,0.0
19914.0,2000,1,0.0
19915.0,2000,1,0.0
19916.0,2000,1,0.0
19917.0,2000,1,0.0
19918.0,2000,1,0.0
19919.0,2000,1,0.0
19930.0,2000,1,0.0
19962.0,2000,1,0.0
19963.0,2000,1,0.0
20487.0,2000,1,0.0
20490.0,2000,1,0.0
21556.0,2000,1,0.0
21559.0,2000,1,0.0
21560.0,2000,1,0.0
21561.0,2000,1,0.0
21562.0,2000,1,0.0
21563.0,2000,1,0.0
51674.0,2000,1,0.0
51675.0,2000,1,0.0
51676.0,2000,1,0.0
51678.0,2000,1,0.0
51682.0,2000,1,0.0
51686.0,2000,1,0.0
51687.0,2000,1,0.0
52727.0,2000,1,0.0
52728.0,2000,1,0.0
52729.0,2000,1,0.0
52730.0,2000,1,0.0
52731.0,2000,1,0.0
52732.0,2000,1,0.0
52733.0,2000,1,0.0
52734.0,2000,1,0.0
52735.0,2000,1,0.0
52738.0,2000,1,0.0
52739.0,2000,1,0.0
52740.0,2000,1,0.0
52741.0,2000,1,0.0
52742.0,2000,1,0.0
52743.0,2000,1,0.0
52744.0,2000,1,0.0
52745.0,2000,1,0.0
52746.0,2000,1,0.0
52747.0,2000,1,0.0
52748.0,2000,1,0.0
52749.0,2000,1,0.0
52750.0,2000,1,0.0
52972.0,2000,1,0.0
52976.0,2000,1,0.0
52977.0,2000,1,0.0
52978.0,2000,1,0.0
52979.0,2000,1,0.0
52980.0,2000,1,0.0
53263.0,2000,1,0.0
53264.0,2000,1,0.0
53265.0,2000,1,0.0
53266.0,2000,1,0.0
53267.0,2000,1,0.0
53268.0,2000,1,0.0
53269.0,2000,1,0.0
53270.0,2000,1,0.0
53271.0,2000,1,0.0
53272.0,2000,1,0.0
53273.0,2000,1,0.0
53274.0,2000,1,0.0
54030.0,2000,1,0.0
54031.0,2000,1,0.0
54034.0,2000,1,0.0
54036.0,2000,1,0.0
54576.0,2000,1,0.0
54577.0,2000,1,0.0
54578.0,2000,1,0.0
55022.0,2000,1,0.0
55023.0,2000,1,0.0
55024.0,2000,1,0.0
55026.0,2000,1,0.0
55027.0,2000,1,0.0
55123.0,2000,1,0.0
55124.0,2000,1,0.0
55125.0,2000,1,0.0
55129.0,2000,1,0.0
55136.0,2000,1,0.0
55137.0,2000,1,0.0
55138.0,2000,1,0.0
55147.0,2000,1,0.0
