año,codigo snies del programa,id genero,matriculados primer,semestre
2016,173,2,15,1
2016,175,1,41,1
2016,176,2,42,1
2016,177,1,51,1
2016,178,2,45,1
2016,180,1,50,1
2016,181,1,43,1
2016,182,2,43,1
2016,188,1,3,1
2016,189,2,105,1
2016,190,2,101,1
2016,191,2,52,1
2016,192,2,55,1
2016,193,1,55,1
2016,194,1,16,1
2016,195,2,27,1
2016,197,2,45,1
2016,204,2,3,1
2016,205,2,11,1
2016,207,1,13,1
2016,210,2,64,1
2016,212,2,86,1
2016,213,1,80,1
2016,215,2,39,1
2016,216,1,43,1
2016,217,1,43,1
2016,218,2,52,1
2016,219,2,20,1
2016,222,2,28,1
2016,223,2,27,1
2016,224,2,22,1
2016,229,2,32,1
2016,230,2,38,1
2016,232,2,43,1
2016,233,2,162,1
2016,234,2,38,1
2016,235,2,45,1
2016,236,1,73,1
2016,238,1,53,1
2016,257,1,183,1
2016,258,2,79,1
2016,260,1,83,1
2016,263,1,86,1
2016,266,2,73,1
2016,267,1,47,1
2016,268,2,80,1
2016,269,1,188,1
2016,270,2,86,1
2016,271,2,276,1
2016,272,2,83,1
2016,276,1,35,1
2016,278,2,13,1
2016,281,1,57,1
2016,282,1,50,1
2016,283,2,58,1
2016,284,2,31,1
2016,288,1,51,1
2016,289,2,56,1
2016,290,2,51,1
2016,291,1,48,1
2016,292,2,60,1
2016,293,2,55,1
2016,294,1,51,1
2016,295,2,16,1
2016,296,1,49,1
2016,297,1,3,1
2016,298,2,2,1
2016,300,2,2,1
2016,302,2,3,1
2016,303,2,3,1
2016,305,1,3,1
2016,306,1,2,1
2016,308,2,3,1
2016,311,1,15,1
2016,320,1,74,1
2016,321,1,42,1
2016,325,2,30,1
2016,326,1,59,1
2016,327,2,85,1
2016,337,1,42,1
2016,338,1,46,1
2016,340,2,97,1
2016,341,2,45,1
2016,342,1,35,1
2016,343,1,7,1
2016,347,1,65,1
2016,351,2,40,1
2016,352,2,172,1
2016,361,2,194,1
2016,362,1,103,1
2016,363,2,127,1
