año,codigo snies del programa,matriculados,semestre
2020,1192,73.0,1.0
2020,1193,35.0,1.0
2020,1195,76.0,1.0
2020,1196,41.0,1.0
2020,1197,15.0,1.0
2020,1199,19.0,1.0
2020,1200,29.0,1.0
2020,1201,16.0,1.0
2020,1202,53.0,1.0
2020,1203,50.0,1.0
2020,1205,127.0,1.0
2020,1216,4.0,1.0
2020,1217,19.0,1.0
2020,1218,8.0,1.0
2020,1219,9.0,1.0
2020,1220,22.0,1.0
2020,1224,8.0,1.0
2020,1227,20.0,1.0
2020,1229,4.0,1.0
2020,1236,24.0,1.0
2020,1237,88.0,1.0
2020,1238,47.0,1.0
2020,1239,74.0,1.0
2020,1240,43.0,1.0
2020,1241,16.0,1.0
2020,1242,13.0,1.0
2020,1244,125.0,1.0
2020,1245,287.0,1.0
2020,1246,21.0,1.0
2020,1247,84.0,1.0
2020,1248,108.0,1.0
2020,1249,31.0,1.0
2020,1250,74.0,1.0
2020,1251,38.0,1.0
2020,1252,47.0,1.0
2020,1254,58.0,1.0
2020,1256,18.0,1.0
2020,1259,17.0,1.0
2020,1261,1.0,1.0
2020,1264,12.0,1.0
2020,1265,61.0,1.0
2020,1266,10.0,1.0
2020,1267,12.0,1.0
2020,1268,22.0,1.0
2020,1269,125.0,1.0
2020,1270,117.0,1.0
2020,1271,126.0,1.0
2020,1272,102.0,1.0
2020,1273,130.0,1.0
2020,1275,30.0,1.0
2020,1276,113.0,1.0
2020,1277,91.0,1.0
2020,1283,1.0,1.0
2020,1291,19.0,1.0
2020,1293,85.0,1.0
2020,1294,19.0,1.0
2020,1295,136.0,1.0
2020,1296,8.0,1.0
2020,1297,179.0,1.0
2020,1298,44.0,1.0
2020,1299,36.0,1.0
2020,1300,8.0,1.0
2020,1301,3.0,1.0
2020,1302,1.0,1.0
2020,1303,4.0,1.0
2020,1305,4.0,1.0
2020,1307,4.0,1.0
2020,1310,2.0,1.0
2020,1311,2.0,1.0
2020,1312,3.0,1.0
2020,1313,1.0,1.0
2020,1315,6.0,1.0
2020,1316,5.0,1.0
2020,1317,2.0,1.0
2020,1323,76.0,1.0
2020,1324,7.0,1.0
2020,1325,29.0,1.0
2020,1326,31.0,1.0
2020,1328,20.0,1.0
2020,1335,24.0,1.0
2020,1336,24.0,1.0
2020,1337,55.0,1.0
2020,1338,74.0,1.0
2020,1339,70.0,1.0
2020,1347,16.0,1.0
2020,1348,31.0,1.0
2020,1349,14.0,1.0
2020,1350,44.0,1.0
2020,1361,41.0,1.0
2020,1365,16.0,1.0
2020,1371,19.0,1.0
2020,1372,10.0,1.0
2020,1380,118.0,1.0
2020,1381,387.0,1.0
2020,1385,55.0,1.0
2020,1386,223.0,1.0
2020,1387,18.0,1.0
2020,1394,50.0,1.0
2020,1395,50.0,1.0
2020,1396,66.0,1.0
2020,1399,56.0,1.0
2020,1402,58.0,1.0
2020,1403,45.0,1.0
2020,1409,75.0,1.0
2020,1412,23.0,1.0
2020,1415,26.0,1.0
2020,1422,279.0,1.0
2020,1426,209.0,1.0
2020,1430,205.0,1.0
2020,1431,10.0,1.0
2020,1432,7.0,1.0
2020,1433,126.0,1.0
2020,1434,14.0,1.0
2020,1435,13.0,1.0
2020,1439,42.0,1.0
2020,1441,38.0,1.0
2020,1442,20.0,1.0
2020,1444,16.0,1.0
2020,1445,10.0,1.0
2020,1446,37.0,1.0
2020,1447,6.0,1.0
2020,1448,16.0,1.0
2020,1450,19.0,1.0
2020,1451,59.0,1.0
2020,1455,6.0,1.0
2020,1464,31.0,1.0
2020,1466,40.0,1.0
2020,1468,10.0,1.0
2020,1475,391.0,1.0
