codigo snies del programa,año,semestre,total
269.0,2000.0,1,220.0
270.0,2000.0,1,69.0
271.0,2000.0,1,124.0
272.0,2000.0,1,91.0
273.0,2000.0,1,137.0
275.0,2000.0,1,16.0
3098.0,2000.0,1,30.0
3562.0,2000.0,1,38.0
8324.0,2000.0,1,30.0
280.0,2000.0,1,140.0
281.0,2000.0,1,175.0
282.0,2000.0,1,23.0
283.0,2000.0,1,164.0
284.0,2000.0,1,73.0
285.0,2000.0,1,115.0
286.0,2000.0,1,35.0
288.0,2000.0,1,178.0
289.0,2000.0,1,86.0
290.0,2000.0,1,283.0
291.0,2000.0,1,465.0
292.0,2000.0,1,125.0
293.0,2000.0,1,35.0
294.0,2000.0,1,385.0
295.0,2000.0,1,132.0
296.0,2000.0,1,132.0
310.0,2000.0,1,45.0
2971.0,2000.0,1,171.0
6657.0,2000.0,1,96.0
6659.0,2000.0,1,28.0
320.0,2000.0,1,126.0
321.0,2000.0,1,118.0
326.0,2000.0,1,126.0
327.0,2000.0,1,106.0
3701.0,2000.0,1,307.0
4824.0,2000.0,1,134.0
4863.0,2000.0,1,62.0
4981.0,2000.0,1,113.0
4982.0,2000.0,1,114.0
5129.0,2000.0,1,95.0
5234.0,2000.0,1,155.0
6539.0,2000.0,1,54.0
6544.0,2000.0,1,447.0
7822.0,2000.0,1,187.0
8100.0,2000.0,1,43.0
8105.0,2000.0,1,83.0
329.0,2000.0,1,50.0
330.0,2000.0,1,36.0
331.0,2000.0,1,36.0
333.0,2000.0,1,51.0
334.0,2000.0,1,185.0
335.0,2000.0,1,68.0
336.0,2000.0,1,116.0
337.0,2000.0,1,164.0
338.0,2000.0,1,202.0
339.0,2000.0,1,100.0
340.0,2000.0,1,146.0
341.0,2000.0,1,74.0
342.0,2000.0,1,119.0
3109.0,2000.0,1,82.0
3204.0,2000.0,1,191.0
3655.0,2000.0,1,65.0
4025.0,2000.0,1,39.0
4246.0,2000.0,1,90.0
4403.0,2000.0,1,40.0
4899.0,2000.0,1,105.0
5073.0,2000.0,1,25.0
5178.0,2000.0,1,2.0
5179.0,2000.0,1,3.0
6288.0,2000.0,1,83.0
9395.0,2000.0,1,136.0
9446.0,2000.0,1,29.0
10657.0,2000.0,1,25.0
10660.0,2000.0,1,25.0
347.0,2000.0,1,126.0
348.0,2000.0,1,49.0
351.0,2000.0,1,63.0
353.0,2000.0,1,194.0
791.0,2000.0,1,118.0
3607.0,2000.0,1,117.0
3608.0,2000.0,1,49.0
4797.0,2000.0,1,70.0
7794.0,2000.0,1,26.0
10284.0,2000.0,1,27.0
360.0,2000.0,1,350.0
361.0,2000.0,1,228.0
362.0,2000.0,1,51.0
363.0,2000.0,1,208.0
364.0,2000.0,1,151.0
365.0,2000.0,1,57.0
366.0,2000.0,1,37.0
367.0,2000.0,1,4.0
368.0,2000.0,1,35.0
369.0,2000.0,1,5.0
370.0,2000.0,1,34.0
371.0,2000.0,1,1.0
372.0,2000.0,1,36.0
374.0,2000.0,1,10.0
375.0,2000.0,1,49.0
376.0,2000.0,1,5.0
377.0,2000.0,1,1.0
378.0,2000.0,1,9.0
379.0,2000.0,1,13.0
380.0,2000.0,1,23.0
382.0,2000.0,1,38.0
383.0,2000.0,1,20.0
384.0,2000.0,1,8.0
385.0,2000.0,1,60.0
386.0,2000.0,1,10.0
387.0,2000.0,1,46.0
388.0,2000.0,1,15.0
389.0,2000.0,1,2.0
390.0,2000.0,1,8.0
394.0,2000.0,1,2.0
395.0,2000.0,1,37.0
2965.0,2000.0,1,39.0
3504.0,2000.0,1,21.0
3750.0,2000.0,1,5.0
3753.0,2000.0,1,2.0
3755.0,2000.0,1,2.0
3756.0,2000.0,1,2.0
4053.0,2000.0,1,1.0
4088.0,2000.0,1,95.0
4358.0,2000.0,1,26.0
4405.0,2000.0,1,181.0
4460.0,2000.0,1,21.0
5235.0,2000.0,1,10.0
5315.0,2000.0,1,62.0
6527.0,2000.0,1,201.0
8431.0,2000.0,1,31.0
10961.0,2000.0,1,71.0
1667.0,2000.0,1,108.0
1668.0,2000.0,1,54.0
1669.0,2000.0,1,21.0
1671.0,2000.0,1,43.0
1672.0,2000.0,1,48.0
1673.0,2000.0,1,106.0
1674.0,2000.0,1,81.0
1675.0,2000.0,1,56.0
1676.0,2000.0,1,73.0
3035.0,2000.0,1,49.0
3573.0,2000.0,1,60.0
