codigo snies del programa,año,semestre,graduados
581.0,2009.0,2,102.0
582.0,2009.0,2,26.0
583.0,2009.0,2,21.0
584.0,2009.0,2,25.0
585.0,2009.0,2,25.0
586.0,2009.0,2,28.0
587.0,2009.0,2,22.0
588.0,2009.0,2,14.0
589.0,2009.0,2,14.0
590.0,2009.0,2,9.0
591.0,2009.0,2,29.0
592.0,2009.0,2,51.0
593.0,2009.0,2,12.0
594.0,2009.0,2,13.0
595.0,2009.0,2,5.0
596.0,2009.0,2,17.0
599.0,2009.0,2,6.0
600.0,2009.0,2,2.0
601.0,2009.0,2,4.0
602.0,2009.0,2,1.0
603.0,2009.0,2,5.0
604.0,2009.0,2,2.0
605.0,2009.0,2,6.0
606.0,2009.0,2,1.0
607.0,2009.0,2,1.0
608.0,2009.0,2,1.0
609.0,2009.0,2,1.0
611.0,2009.0,2,1.0
612.0,2009.0,2,2.0
614.0,2009.0,2,1.0
621.0,2009.0,2,1.0
625.0,2009.0,2,5.0
626.0,2009.0,2,35.0
628.0,2009.0,2,11.0
633.0,2009.0,2,2.0
636.0,2009.0,2,8.0
640.0,2009.0,2,6.0
642.0,2009.0,2,16.0
645.0,2009.0,2,5.0
650.0,2009.0,2,23.0
651.0,2009.0,2,7.0
652.0,2009.0,2,2.0
655.0,2009.0,2,12.0
656.0,2009.0,2,3.0
658.0,2009.0,2,3.0
660.0,2009.0,2,48.0
662.0,2009.0,2,6.0
663.0,2009.0,2,2.0
664.0,2009.0,2,2.0
670.0,2009.0,2,2.0
672.0,2009.0,2,1.0
673.0,2009.0,2,2.0
674.0,2009.0,2,5.0
676.0,2009.0,2,5.0
678.0,2009.0,2,4.0
680.0,2009.0,2,6.0
683.0,2009.0,2,7.0
684.0,2009.0,2,9.0
685.0,2009.0,2,2.0
686.0,2009.0,2,2.0
687.0,2009.0,2,3.0
688.0,2009.0,2,2.0
689.0,2009.0,2,59.0
690.0,2009.0,2,19.0
691.0,2009.0,2,2.0
692.0,2009.0,2,20.0
693.0,2009.0,2,15.0
694.0,2009.0,2,2.0
695.0,2009.0,2,5.0
696.0,2009.0,2,3.0
697.0,2009.0,2,3.0
698.0,2009.0,2,2.0
699.0,2009.0,2,2.0
700.0,2009.0,2,3.0
701.0,2009.0,2,4.0
702.0,2009.0,2,2.0
703.0,2009.0,2,4.0
704.0,2009.0,2,2.0
705.0,2009.0,2,5.0
706.0,2009.0,2,7.0
707.0,2009.0,2,5.0
709.0,2009.0,2,1.0
711.0,2009.0,2,1.0
712.0,2009.0,2,2.0
715.0,2009.0,2,2.0
717.0,2009.0,2,1.0
719.0,2009.0,2,2.0
726.0,2009.0,2,2.0
731.0,2009.0,2,2.0
732.0,2009.0,2,3.0
733.0,2009.0,2,1.0
736.0,2009.0,2,68.0
737.0,2009.0,2,91.0
738.0,2009.0,2,28.0
739.0,2009.0,2,43.0
740.0,2009.0,2,114.0
741.0,2009.0,2,72.0
742.0,2009.0,2,113.0
744.0,2009.0,2,21.0
745.0,2009.0,2,27.0
746.0,2009.0,2,24.0
747.0,2009.0,2,58.0
748.0,2009.0,2,30.0
749.0,2009.0,2,4.0
750.0,2009.0,2,5.0
751.0,2009.0,2,1.0
753.0,2009.0,2,4.0
755.0,2009.0,2,1.0
756.0,2009.0,2,8.0
757.0,2009.0,2,11.0
759.0,2009.0,2,1.0
760.0,2009.0,2,44.0
762.0,2009.0,2,4.0
766.0,2009.0,2,16.0
767.0,2009.0,2,2.0
768.0,2009.0,2,1.0
770.0,2009.0,2,15.0
771.0,2009.0,2,8.0
772.0,2009.0,2,5.0
774.0,2009.0,2,1.0
777.0,2009.0,2,10.0
779.0,2009.0,2,4.0
783.0,2009.0,2,11.0
786.0,2009.0,2,26.0
788.0,2009.0,2,56.0
789.0,2009.0,2,26.0
790.0,2009.0,2,35.0
791.0,2009.0,2,53.0
794.0,2009.0,2,4.0
796.0,2009.0,2,3.0
797.0,2009.0,2,11.0
798.0,2009.0,2,155.0
799.0,2009.0,2,9.0
800.0,2009.0,2,13.0
801.0,2009.0,2,20.0
805.0,2009.0,2,15.0
807.0,2009.0,2,28.0
808.0,2009.0,2,25.0
809.0,2009.0,2,142.0
810.0,2009.0,2,18.0
811.0,2009.0,2,28.0
815.0,2009.0,2,3.0
816.0,2009.0,2,13.0
817.0,2009.0,2,15.0
818.0,2009.0,2,34.0
819.0,2009.0,2,14.0
827.0,2009.0,2,47.0
829.0,2009.0,2,46.0
831.0,2009.0,2,27.0
832.0,2009.0,2,13.0
833.0,2009.0,2,20.0
834.0,2009.0,2,85.0
835.0,2009.0,2,28.0
839.0,2009.0,2,29.0
841.0,2009.0,2,24.0
842.0,2009.0,2,13.0
847.0,2009.0,2,21.0
850.0,2009.0,2,15.0
851.0,2009.0,2,8.0
852.0,2009.0,2,40.0
854.0,2009.0,2,109.0
855.0,2009.0,2,9.0
856.0,2009.0,2,29.0
857.0,2009.0,2,15.0
858.0,2009.0,2,17.0
860.0,2009.0,2,18.0
862.0,2009.0,2,5.0
863.0,2009.0,2,3.0
866.0,2009.0,2,28.0
870.0,2009.0,2,13.0
873.0,2009.0,2,26.0
882.0,2009.0,2,11.0
884.0,2009.0,2,2.0
885.0,2009.0,2,7.0
889.0,2009.0,2,15.0
898.0,2009.0,2,20.0
902.0,2009.0,2,11.0
904.0,2009.0,2,68.0
905.0,2009.0,2,23.0
906.0,2009.0,2,27.0
907.0,2009.0,2,26.0
908.0,2009.0,2,15.0
909.0,2009.0,2,2.0
910.0,2009.0,2,73.0
911.0,2009.0,2,10.0
912.0,2009.0,2,1.0
913.0,2009.0,2,35.0
914.0,2009.0,2,30.0
915.0,2009.0,2,32.0
916.0,2009.0,2,42.0
917.0,2009.0,2,50.0
921.0,2009.0,2,49.0
923.0,2009.0,2,14.0
925.0,2009.0,2,60.0
926.0,2009.0,2,36.0
933.0,2009.0,2,5.0
935.0,2009.0,2,20.0
936.0,2009.0,2,22.0
937.0,2009.0,2,15.0
943.0,2009.0,2,25.0
944.0,2009.0,2,43.0
945.0,2009.0,2,69.0
946.0,2009.0,2,12.0
947.0,2009.0,2,64.0
948.0,2009.0,2,19.0
949.0,2009.0,2,106.0
950.0,2009.0,2,76.0
951.0,2009.0,2,163.0
952.0,2009.0,2,32.0
953.0,2009.0,2,138.0
955.0,2009.0,2,9.0
956.0,2009.0,2,24.0
957.0,2009.0,2,15.0
958.0,2009.0,2,30.0
959.0,2009.0,2,24.0
960.0,2009.0,2,105.0
961.0,2009.0,2,84.0
962.0,2009.0,2,47.0
964.0,2009.0,2,65.0
965.0,2009.0,2,2.0
968.0,2009.0,2,5.0
970.0,2009.0,2,2.0
971.0,2009.0,2,6.0
972.0,2009.0,2,4.0
973.0,2009.0,2,4.0
974.0,2009.0,2,1.0
980.0,2009.0,2,1.0
982.0,2009.0,2,1.0
983.0,2009.0,2,2.0
984.0,2009.0,2,14.0
985.0,2009.0,2,1.0
987.0,2009.0,2,3.0
988.0,2009.0,2,1.0
990.0,2009.0,2,3.0
992.0,2009.0,2,20.0
994.0,2009.0,2,2.0
995.0,2009.0,2,1.0
998.0,2009.0,2,7.0
999.0,2009.0,2,1.0
1001.0,2009.0,2,29.0
1002.0,2009.0,2,1.0
1003.0,2009.0,2,2.0
1005.0,2009.0,2,6.0
1007.0,2009.0,2,18.0
1008.0,2009.0,2,20.0
1009.0,2009.0,2,15.0
1012.0,2009.0,2,69.0
1017.0,2009.0,2,1.0
1018.0,2009.0,2,6.0
1019.0,2009.0,2,11.0
1021.0,2009.0,2,1.0
1023.0,2009.0,2,1.0
1025.0,2009.0,2,2.0
1027.0,2009.0,2,21.0
1029.0,2009.0,2,7.0
1030.0,2009.0,2,6.0
1032.0,2009.0,2,4.0
1033.0,2009.0,2,4.0
1034.0,2009.0,2,1.0
1038.0,2009.0,2,4.0
1039.0,2009.0,2,49.0
1040.0,2009.0,2,68.0
1041.0,2009.0,2,47.0
1042.0,2009.0,2,33.0
1043.0,2009.0,2,32.0
1044.0,2009.0,2,81.0
1046.0,2009.0,2,18.0
1047.0,2009.0,2,21.0
1050.0,2009.0,2,6.0
1053.0,2009.0,2,12.0
1054.0,2009.0,2,20.0
1056.0,2009.0,2,26.0
1059.0,2009.0,2,11.0
1060.0,2009.0,2,23.0
1061.0,2009.0,2,32.0
1062.0,2009.0,2,16.0
1063.0,2009.0,2,6.0
1069.0,2009.0,2,8.0
1070.0,2009.0,2,7.0
1071.0,2009.0,2,18.0
1072.0,2009.0,2,2.0
1073.0,2009.0,2,8.0
1074.0,2009.0,2,19.0
1075.0,2009.0,2,1.0
1076.0,2009.0,2,3.0
1077.0,2009.0,2,22.0
1078.0,2009.0,2,79.0
1079.0,2009.0,2,26.0
1080.0,2009.0,2,123.0
1081.0,2009.0,2,34.0
1082.0,2009.0,2,46.0
1083.0,2009.0,2,55.0
1084.0,2009.0,2,10.0
1085.0,2009.0,2,50.0
1086.0,2009.0,2,20.0
1087.0,2009.0,2,32.0
1088.0,2009.0,2,5.0
1090.0,2009.0,2,4.0
1091.0,2009.0,2,30.0
1092.0,2009.0,2,4.0
1094.0,2009.0,2,8.0
1096.0,2009.0,2,23.0
1097.0,2009.0,2,34.0
1098.0,2009.0,2,96.0
1099.0,2009.0,2,22.0
1100.0,2009.0,2,6.0
1101.0,2009.0,2,41.0
1102.0,2009.0,2,36.0
1103.0,2009.0,2,15.0
1104.0,2009.0,2,31.0
1106.0,2009.0,2,2.0
1108.0,2009.0,2,23.0
1110.0,2009.0,2,27.0
1111.0,2009.0,2,8.0
1112.0,2009.0,2,122.0
1113.0,2009.0,2,32.0
1114.0,2009.0,2,77.0
1115.0,2009.0,2,36.0
1116.0,2009.0,2,23.0
1117.0,2009.0,2,18.0
1120.0,2009.0,2,34.0
1121.0,2009.0,2,2.0
1123.0,2009.0,2,13.0
1125.0,2009.0,2,33.0
1126.0,2009.0,2,10.0
1130.0,2009.0,2,1.0
1131.0,2009.0,2,31.0
1132.0,2009.0,2,8.0
1136.0,2009.0,2,11.0
1138.0,2009.0,2,17.0
1142.0,2009.0,2,12.0
1143.0,2009.0,2,164.0
1144.0,2009.0,2,105.0
1145.0,2009.0,2,8.0
1146.0,2009.0,2,158.0
1147.0,2009.0,2,26.0
1148.0,2009.0,2,22.0
1149.0,2009.0,2,5.0
1150.0,2009.0,2,86.0
1151.0,2009.0,2,23.0
1152.0,2009.0,2,19.0
1153.0,2009.0,2,4.0
1154.0,2009.0,2,6.0
1155.0,2009.0,2,17.0
1156.0,2009.0,2,8.0
1158.0,2009.0,2,45.0
1162.0,2009.0,2,3.0
1163.0,2009.0,2,27.0
1164.0,2009.0,2,9.0
1166.0,2009.0,2,7.0
1169.0,2009.0,2,114.0
1170.0,2009.0,2,141.0
1172.0,2009.0,2,26.0
1173.0,2009.0,2,45.0
1174.0,2009.0,2,158.0
1175.0,2009.0,2,64.0
1176.0,2009.0,2,15.0
1178.0,2009.0,2,29.0
1179.0,2009.0,2,64.0
1180.0,2009.0,2,48.0
1185.0,2009.0,2,3.0
1191.0,2009.0,2,34.0
1192.0,2009.0,2,52.0
1193.0,2009.0,2,19.0
1195.0,2009.0,2,48.0
1196.0,2009.0,2,64.0
1197.0,2009.0,2,1.0
1199.0,2009.0,2,8.0
1200.0,2009.0,2,24.0
1201.0,2009.0,2,57.0
1202.0,2009.0,2,15.0
1203.0,2009.0,2,17.0
1205.0,2009.0,2,44.0
1206.0,2009.0,2,2.0
1207.0,2009.0,2,1.0
1208.0,2009.0,2,4.0
1210.0,2009.0,2,5.0
1211.0,2009.0,2,2.0
1212.0,2009.0,2,3.0
1213.0,2009.0,2,3.0
1216.0,2009.0,2,1.0
1217.0,2009.0,2,10.0
1218.0,2009.0,2,5.0
1219.0,2009.0,2,5.0
1220.0,2009.0,2,8.0
1222.0,2009.0,2,1.0
1223.0,2009.0,2,1.0
1224.0,2009.0,2,3.0
1225.0,2009.0,2,1.0
1227.0,2009.0,2,35.0
1228.0,2009.0,2,3.0
1230.0,2009.0,2,1.0
1234.0,2009.0,2,2.0
1236.0,2009.0,2,25.0
1237.0,2009.0,2,68.0
1238.0,2009.0,2,45.0
1239.0,2009.0,2,55.0
1240.0,2009.0,2,74.0
1241.0,2009.0,2,11.0
1242.0,2009.0,2,25.0
1244.0,2009.0,2,89.0
1245.0,2009.0,2,121.0
1246.0,2009.0,2,8.0
1247.0,2009.0,2,12.0
1248.0,2009.0,2,41.0
1249.0,2009.0,2,22.0
1250.0,2009.0,2,30.0
1252.0,2009.0,2,89.0
1254.0,2009.0,2,96.0
1256.0,2009.0,2,11.0
1257.0,2009.0,2,8.0
1258.0,2009.0,2,31.0
1260.0,2009.0,2,14.0
1261.0,2009.0,2,16.0
1264.0,2009.0,2,6.0
1265.0,2009.0,2,81.0
1266.0,2009.0,2,9.0
1267.0,2009.0,2,21.0
1268.0,2009.0,2,27.0
1269.0,2009.0,2,58.0
1270.0,2009.0,2,41.0
1271.0,2009.0,2,42.0
1272.0,2009.0,2,71.0
1273.0,2009.0,2,19.0
1274.0,2009.0,2,32.0
1275.0,2009.0,2,20.0
1276.0,2009.0,2,73.0
1277.0,2009.0,2,31.0
1278.0,2009.0,2,19.0
1281.0,2009.0,2,37.0
1282.0,2009.0,2,15.0
1283.0,2009.0,2,63.0
1285.0,2009.0,2,16.0
1291.0,2009.0,2,55.0
