año,codigo snies del programa,matriculados,semestre
2018,1115,32,1
2018,1116,35,1
2018,1117,3,1
2018,1120,31,1
2018,1125,29,1
2018,1126,69,1
2018,1131,13,1
2018,1136,11,1
2018,1138,41,1
2018,1143,85,1
2018,1144,101,1
2018,1146,145,1
2018,1147,37,1
2018,1148,33,1
2018,1149,15,1
2018,1150,30,1
2018,1151,41,1
2018,1152,15,1
2018,1153,1,1
2018,1155,45,1
2018,1156,9,1
2018,1158,7,1
2018,1166,9,1
2018,1169,79,1
2018,1170,59,1
2018,1172,19,1
2018,1173,20,1
2018,1175,21,1
2018,1176,36,1
2018,1178,30,1
2018,1179,60,1
2018,1180,23,1
2018,1185,3,1
2018,1192,94,1
2018,1193,23,1
2018,1195,26,1
2018,1196,30,1
2018,1197,8,1
2018,1198,1,1
2018,1199,7,1
2018,1200,21,1
2018,1201,17,1
2018,1202,30,1
2018,1203,31,1
2018,1204,3,1
2018,1205,77,1
2018,1213,1,1
2018,1216,6,1
2018,1217,13,1
2018,1218,13,1
2018,1219,10,1
2018,1220,26,1
2018,1223,1,1
2018,1224,17,1
2018,1227,21,1
2018,1228,7,1
2018,1229,4,1
2018,1230,1,1
2018,1236,18,1
2018,1237,76,1
2018,1238,50,1
2018,1239,24,1
2018,1240,49,1
2018,1241,6,1
2018,1244,74,1
2018,1245,222,1
2018,1246,16,1
2018,1247,42,1
2018,1248,15,1
2018,1249,35,1
2018,1250,46,1
2018,1251,10,1
2018,1252,74,1
2018,1254,64,1
2018,1256,12,1
2018,1259,2,1
2018,1263,11,1
2018,1264,5,1
2018,1265,59,1
2018,1266,2,1
2018,1267,16,1
2018,1268,18,1
2018,1269,88,1
2018,1270,72,1
2018,1271,34,1
2018,1272,79,1
2018,1273,81,1
2018,1275,19,1
2018,1276,79,1
2018,1277,42,1
2018,1279,4,1
2018,1280,6,1
2018,1283,2,1
2018,1285,2,1
2018,1291,16,1
2018,1293,39,1
2018,1294,12,1
2018,1295,99,1
2018,1296,5,1
2018,1297,113,1
2018,1298,44,1
2018,1299,60,1
2018,1300,2,1
2018,1301,7,1
2018,1302,1,1
2018,1303,3,1
2018,1305,3,1
2018,1307,6,1
2018,1308,3,1
2018,1309,1,1
2018,1310,1,1
2018,1311,2,1
2018,1312,4,1
2018,1313,1,1
2018,1315,5,1
2018,1316,5,1
2018,1317,1,1
2018,1318,1,1
2018,1319,1,1
2018,1323,96,1
2018,1325,12,1
2018,1326,26,1
2018,1328,6,1
2018,1329,27,1
2018,1330,19,1
2018,1331,9,1
2018,1332,15,1
2018,1335,126,1
2018,1336,48,1
2018,1337,29,1
2018,1338,110,1
2018,1339,14,1
2018,1340,30,1
2018,1347,11,1
2018,1348,46,1
2018,1349,7,1
2018,1350,42,1
2018,1361,69,1
2018,1363,4,1
2018,1365,12,1
2018,1371,4,1
2018,1372,13,1
2018,1380,105,1
2018,1381,266,1
2018,1383,100,1
2018,1384,13,1
2018,1385,109,1
2018,1386,134,1
2018,1387,9,1
2018,1389,9,1
2018,1394,49,1
2018,1395,20,1
2018,1396,64,1
2018,1399,39,1
2018,1402,18,1
2018,1403,23,1
2018,1409,49,1
2018,1412,10,1
2018,1415,1,1
2018,1422,327,1
2018,1423,7,1
2018,1424,51,1
2018,1425,97,1
2018,1426,69,1
2018,1430,88,1
2018,1431,6,1
2018,1432,3,1
2018,1433,55,1
2018,1434,22,1
2018,1435,7,1
2018,1439,31,1
2018,1441,41,1
2018,1442,91,1
2018,1444,96,1
2018,1445,8,1
2018,1446,61,1
2018,1447,14,1
2018,1448,11,1
2018,1450,89,1
2018,1451,72,1
2018,1455,12,1
2018,1464,14,1
2018,1466,5,1
2018,1475,103,1
2018,1476,13,1
2018,1477,24,1
2018,1480,1,1
2018,1483,126,1
2018,1485,36,1
2018,1487,60,1
2018,1488,57,1
2018,1489,61,1
2018,1490,39,1
2018,1491,29,1
2018,1492,64,1
2018,1493,84,1
2018,1494,91,1
2018,1496,9,1
2018,1497,104,1
2018,1498,85,1
2018,1499,91,1
2018,1503,71,1
2018,1504,26,1
2018,1512,114,1
2018,1513,3,1
2018,1514,52,1
2018,1516,32,1
2018,1519,7,1
2018,1520,16,1
2018,1527,35,1
2018,1529,10,1
2018,1531,26,1
2018,1532,44,1
2018,1533,113,1
2018,1534,43,1
2018,1535,92,1
2018,1536,115,1
2018,1537,12,1
2018,1538,9,1
2018,1539,100,1
2018,1540,39,1
2018,1541,10,1
2018,1542,180,1
2018,1543,46,1
2018,1544,67,1
2018,1545,29,1
2018,1546,15,1
2018,1547,7,1
2018,1548,24,1
2018,1550,2,1
2018,1551,1,1
2018,1553,1,1
2018,1560,1,1
2018,1561,1,1
2018,1564,1,1
2018,1569,2,1
2018,1573,12,1
2018,1574,37,1
2018,1575,47,1
2018,1576,12,1
2018,1578,39,1
2018,1579,10,1
2018,1580,6,1
2018,1581,26,1
2018,1582,13,1
2018,1585,7,1
2018,1587,2,1
2018,1592,9,1
2018,1593,9,1
2018,1595,10,1
2018,1596,9,1
2018,1597,26,1
2018,1598,150,1
2018,1599,117,1
2018,1605,15,1
2018,1606,17,1
2018,1607,4,1
2018,1614,34,1
2018,1620,4,1
2018,1621,15,1
2018,1622,31,1
2018,1626,13,1
2018,1627,8,1
2018,1628,20,1
2018,1630,26,1
2018,1635,15,1
2018,1636,14,1
2018,1640,26,1
2018,1641,8,1
2018,1642,4,1
2018,1643,2,1
2018,1645,1,1
2018,1647,21,1
2018,1649,6,1
2018,1650,8,1
2018,1651,73,1
2018,1652,10,1
2018,1653,7,1
2018,1654,248,1
2018,1655,31,1
2018,1656,28,1
2018,1657,21,1
2018,1658,6,1
2018,1660,5,1
2018,1661,15,1
2018,1662,17,1
2018,1663,5,1
2018,1664,12,1
2018,1667,42,1
2018,1668,2,1
2018,1676,43,1
2018,1678,4,1
2018,1679,2,1
2018,1680,2,1
2018,1681,2,1
2018,1682,2,1
2018,1683,1,1
2018,1684,4,1
2018,1685,1,1
2018,1687,2,1
2018,1688,6,1
2018,1689,6,1
2018,1690,13,1
2018,1691,14,1
2018,1692,3,1
2018,1693,20,1
2018,1694,24,1
2018,1697,23,1
2018,1698,3,1
2018,1705,2,1
2018,1706,53,1
2018,1708,82,1
2018,1718,3,1
2018,1724,13,1
2018,1725,27,1
2018,1730,8,1
2018,1731,10,1
2018,1736,3,1
2018,1737,5,1
2018,1738,12,1
2018,1739,6,1
2018,1741,16,1
2018,1742,15,1
2018,1749,55,1
2018,1751,17,1
2018,1752,10,1
2018,1755,24,1
2018,1759,1,1
2018,1760,15,1
2018,1762,63,1
2018,1763,14,1
2018,1764,28,1
2018,1769,62,1
2018,1770,131,1
2018,1771,47,1
2018,1774,31,1
2018,1775,19,1
2018,1776,3,1
2018,1777,50,1
2018,1778,39,1
2018,1779,88,1
2018,1780,43,1
2018,1781,3,1
2018,1782,4,1
2018,1783,3,1
2018,1784,3,1
2018,1785,5,1
2018,1786,6,1
2018,1788,1,1
2018,1789,3,1
2018,1791,1,1
2018,1792,5,1
2018,1793,3,1
2018,1794,3,1
2018,1795,1,1
2018,1796,6,1
2018,1797,2,1
2018,1798,2,1
2018,1799,2,1
2018,1800,2,1
2018,1801,11,1
2018,1802,6,1
2018,1803,1,1
2018,1806,1,1
2018,1807,126,1
2018,1810,3,1
2018,1813,1,1
2018,1814,3,1
2018,1816,1,1
2018,1820,1,1
2018,1823,2,1
2018,1828,18,1
2018,1829,14,1
2018,1832,27,1
2018,1834,92,1
2018,1836,2,1
2018,1837,32,1
2018,1838,235,1
2018,1840,16,1
2018,1841,2,1
2018,1846,30,1
2018,1847,78,1
2018,1853,8,1
2018,1854,18,1
2018,1855,3,1
2018,1856,10,1
2018,1861,9,1
2018,1870,42,1
2018,1872,1,1
2018,1874,2,1
2018,1875,91,1
2018,1876,1,1
2018,1877,81,1
2018,1878,21,1
2018,1881,5,1
2018,1883,43,1
2018,1884,4,1
2018,1885,3,1
2018,1886,92,1
2018,1887,7,1
2018,1888,24,1
2018,1889,3,1
2018,1890,14,1
2018,1892,123,1
2018,1893,36,1
2018,1894,197,1
2018,1895,40,1
2018,1902,63,1
2018,1905,3,1
2018,1914,10,1
2018,1915,17,1
2018,1916,22,1
2018,1918,4,1
2018,1919,9,1
2018,1925,1,1
2018,1928,18,1
2018,1937,7,1
2018,1942,19,1
2018,1943,4,1
2018,1944,5,1
2018,1946,6,1
2018,1950,9,1
2018,1953,27,1
2018,1956,12,1
2018,1958,68,1
2018,1976,94,1
2018,1977,30,1
2018,1980,81,1
2018,1981,19,1
2018,1982,11,1
2018,1983,74,1
2018,1984,15,1
2018,1985,14,1
2018,1987,1,1
2018,1991,51,1
2018,1993,3,1
2018,2004,47,1
2018,2009,1,1
2018,2016,18,1
2018,2026,28,1
2018,2028,1,1
2018,2034,2,1
2018,2037,5,1
2018,2039,14,1
2018,2040,35,1
2018,2046,4,1
2018,2048,3,1
2018,2051,196,1
2018,2052,69,1
2018,2053,5,1
2018,2054,82,1
2018,2055,27,1
2018,2056,14,1
2018,2063,2,1
2018,2065,108,1
2018,2068,26,1
2018,2069,23,1
2018,2070,68,1
2018,2071,15,1
2018,2076,25,1
2018,2078,13,1
2018,2093,33,1
2018,2094,15,1
2018,2095,4,1
2018,2097,8,1
2018,2098,13,1
2018,2108,1,1
2018,2111,16,1
2018,2114,15,1
2018,2115,5,1
2018,2119,15,1
2018,2125,15,1
2018,2130,9,1
2018,2131,71,1
2018,2133,1,1
2018,2134,124,1
2018,2145,8,1
2018,2152,1,1
2018,2162,22,1
2018,2163,5,1
2018,2168,32,1
2018,2172,7,1
2018,2180,39,1
2018,2187,7,1
2018,2188,1,1
2018,2189,37,1
2018,2190,40,1
2018,2191,38,1
2018,2192,13,1
2018,2199,2,1
2018,2205,22,1
2018,2206,60,1
2018,2209,8,1
2018,2217,16,1
2018,2218,2,1
2018,2227,3,1
2018,2234,59,1
2018,2249,3,1
2018,2268,26,1
2018,2272,13,1
2018,2273,28,1
2018,2280,9,1
2018,2281,3,1
2018,2282,4,1
2018,2291,3,1
2018,2296,9,1
2018,2314,2,1
2018,2324,1,1
2018,2337,77,1
2018,2339,1,1
2018,2345,2,1
2018,2346,3,1
2018,2360,4,1
2018,2361,3,1
2018,2362,7,1
2018,2380,8,1
2018,2381,66,1
2018,2382,48,1
2018,2383,43,1
2018,2384,9,1
2018,2414,26,1
2018,2425,3,1
2018,2434,2,1
2018,2435,3,1
2018,2436,1,1
2018,2437,1,1
2018,2445,27,1
2018,2446,54,1
2018,2449,13,1
2018,2453,8,1
2018,2458,3,1
2018,2459,12,1
2018,2460,35,1
2018,2484,6,1
2018,2487,1,1
2018,2497,34,1
2018,2504,6,1
2018,2506,5,1
2018,2512,1,1
2018,2513,1,1
2018,2518,58,1
2018,2519,54,1
2018,2520,1,1
2018,2521,21,1
2018,2522,33,1
2018,2523,34,1
2018,2524,88,1
2018,2525,16,1
2018,2526,3,1
2018,2531,1,1
2018,2533,3,1
2018,2534,10,1
2018,2535,12,1
2018,2536,3,1
2018,2537,6,1
2018,2538,2,1
2018,2539,20,1
2018,2540,30,1
2018,2541,18,1
2018,2542,46,1
2018,2543,13,1
2018,2549,49,1
2018,2550,1,1
2018,2555,10,1
2018,2561,58,1
2018,2562,61,1
2018,2563,78,1
2018,2568,3,1
2018,2572,24,1
2018,2579,168,1
2018,2584,9,1
2018,2586,9,1
2018,2588,5,1
2018,2603,4,1
2018,2604,1,1
2018,2605,63,1
2018,2606,2,1
2018,2611,16,1
2018,2612,26,1
2018,2616,15,1
2018,2617,21,1
2018,2618,8,1
2018,2621,9,1
2018,2622,2,1
2018,2623,16,1
2018,2625,7,1
2018,2628,22,1
2018,2631,21,1
2018,2633,17,1
2018,2634,41,1
2018,2636,23,1
2018,2648,68,1
2018,2652,60,1
2018,2654,37,1
2018,2657,3,1
2018,2671,17,1
2018,2674,1,1
2018,2677,3,1
2018,2684,17,1
2018,2686,80,1
2018,2690,8,1
2018,2692,80,1
2018,2693,6,1
2018,2699,16,1
2018,2706,5,1
2018,2707,1,1
2018,2710,7,1
2018,2713,21,1
2018,2714,45,1
2018,2715,3,1
2018,2718,8,1
2018,2721,104,1
2018,2722,58,1
2018,2723,29,1
2018,2730,11,1
2018,2731,22,1
2018,2738,9,1
2018,2744,26,1
2018,2746,7,1
2018,2750,26,1
2018,2754,1,1
2018,2761,7,1
2018,2762,4,1
2018,2767,8,1
2018,2768,13,1
2018,2769,18,1
2018,2775,7,1
2018,2776,3,1
2018,2777,4,1
2018,2779,18,1
2018,2784,6,1
2018,2785,2,1
2018,2799,11,1
2018,2801,20,1
2018,2806,23,1
2018,2807,33,1
2018,2817,2,1
2018,2821,4,1
2018,2822,25,1
2018,2825,6,1
2018,2826,31,1
2018,2829,27,1
2018,2830,21,1
2018,2831,49,1
2018,2833,20,1
2018,2840,11,1
2018,2842,18,1
2018,2845,4,1
2018,2848,1,1
2018,2850,59,1
2018,2851,4,1
2018,2855,1,1
2018,2858,4,1
2018,2859,6,1
2018,2861,39,1
2018,2863,3,1
2018,2866,25,1
2018,2870,2,1
2018,2883,19,1
2018,2887,9,1
2018,2888,13,1
2018,2889,7,1
2018,2890,5,1
2018,2891,10,1
2018,2894,9,1
2018,2896,3,1
2018,2901,8,1
2018,2903,1,1
2018,2914,52,1
2018,2919,24,1
2018,2922,10,1
2018,2923,21,1
2018,2925,1,1
2018,2929,7,1
2018,2935,1,1
2018,2937,89,1
2018,2949,7,1
2018,2950,5,1
2018,2963,13,1
2018,2964,8,1
2018,2965,14,1
2018,2966,11,1
2018,2970,23,1
2018,2971,30,1
2018,2972,9,1
2018,2973,3,1
2018,2977,27,1
2018,2978,9,1
2018,2980,1,1
2018,2989,22,1
2018,2990,8,1
2018,2992,40,1
2018,2993,33,1
2018,2995,6,1
2018,2998,113,1
2018,3003,48,1
2018,3005,1,1
2018,3006,22,1
2018,3020,57,1
2018,3024,16,1
2018,3026,3,1
2018,3035,9,1
2018,3038,16,1
2018,3040,2,1
2018,3046,7,1
2018,3047,8,1
2018,3048,6,1
2018,3050,6,1
2018,3053,12,1
2018,3054,16,1
2018,3055,13,1
2018,3060,3,1
2018,3069,4,1
2018,3072,40,1
2018,3078,44,1
2018,3079,28,1
2018,3087,49,1
2018,3092,8,1
2018,3094,16,1
2018,3095,9,1
2018,3098,12,1
2018,3100,4,1
2018,3101,20,1
2018,3102,4,1
2018,3103,18,1
2018,3104,64,1
2018,3109,15,1
2018,3127,72,1
2018,3128,23,1
2018,3132,2,1
2018,3134,10,1
2018,3136,37,1
2018,3137,4,1
2018,3139,14,1
2018,3140,60,1
2018,3141,5,1
2018,3143,6,1
2018,3147,22,1
2018,3149,10,1
2018,3151,2,1
2018,3152,69,1
2018,3158,1,1
2018,3165,23,1
2018,3167,7,1
2018,3173,4,1
2018,3174,19,1
2018,3175,19,1
2018,3177,26,1
2018,3182,30,1
2018,3189,4,1
2018,3190,6,1
2018,3193,40,1
2018,3194,15,1
2018,3203,54,1
2018,3204,23,1
2018,3205,32,1
2018,3207,50,1
2018,3208,24,1
2018,3209,24,1
2018,3227,4,1
2018,3229,1,1
2018,3232,13,1
2018,3237,18,1
2018,3239,1,1
2018,3246,1,1
2018,3251,3,1
2018,3254,17,1
2018,3255,19,1
2018,3256,26,1
2018,3261,52,1
2018,3264,1,1
2018,3267,10,1
2018,3268,21,1
2018,3269,32,1
2018,3271,63,1
2018,3273,2,1
2018,3274,16,1
2018,3275,30,1
2018,3279,2,1
2018,3283,17,1
2018,3284,9,1
2018,3290,9,1
2018,3295,22,1
2018,3298,6,1
2018,3302,6,1
2018,3306,10,1
2018,3308,9,1
2018,3312,45,1
2018,3314,46,1
2018,3315,13,1
2018,3317,19,1
