año,codigo snies del programa,inscritos,semestre
2016,1236,97,2
2016,1237,324,2
2016,1238,212,2
2016,1239,199,2
2016,1240,296,2
2016,1241,23,2
2016,1242,14,2
2016,1244,185,2
2016,1245,504,2
2016,1246,34,2
2016,1247,149,2
2016,1248,91,2
2016,1249,31,2
2016,1250,84,2
2016,1251,15,2
2016,1252,69,2
2016,1254,102,2
2016,1256,29,2
2016,1259,4,2
2016,1261,10,2
2016,1264,16,2
2016,1265,117,2
2016,1266,15,2
2016,1267,17,2
2016,1268,40,2
2016,1269,425,2
2016,1270,119,2
2016,1271,139,2
2016,1272,195,2
2016,1273,136,2
2016,1275,20,2
2016,1276,164,2
2016,1277,48,2
2016,1279,109,2
2016,1280,92,2
2016,1283,52,2
2016,1284,20,2
2016,1285,22,2
2016,1291,45,2
2016,1293,110,2
2016,1294,20,2
2016,1295,829,2
2016,1296,11,2
2016,1297,534,2
2016,1298,164,2
2016,1299,230,2
2016,1300,5,2
2016,1301,127,2
2016,1302,10,2
2016,1303,84,2
2016,1305,49,2
2016,1307,198,2
2016,1308,2,2
2016,1309,32,2
2016,1310,46,2
2016,1315,116,2
2016,1317,55,2
2016,1321,1,2
2016,1323,161,2
2016,1324,6,2
2016,1325,20,2
2016,1326,10,2
2016,1328,22,2
2016,1329,37,2
2016,1330,27,2
2016,1331,33,2
2016,1332,37,2
2016,1335,55,2
2016,1336,58,2
2016,1337,62,2
2016,1338,182,2
2016,1339,71,2
2016,1340,21,2
2016,1347,25,2
2016,1348,71,2
2016,1349,29,2
2016,1350,107,2
2016,1361,80,2
2016,1363,14,2
2016,1365,13,2
2016,1371,8,2
2016,1372,15,2
2016,1380,213,2
2016,1381,440,2
2016,1383,330,2
2016,1385,111,2
2016,1386,342,2
2016,1387,14,2
2016,1389,7,2
2016,1394,261,2
2016,1395,95,2
2016,1396,89,2
2016,1399,52,2
2016,1402,61,2
2016,1403,96,2
2016,1409,42,2
2016,1412,6,2
2016,1413,30,2
2016,1415,26,2
2016,1422,854,2
2016,1425,311,2
2016,1426,367,2
2016,1430,144,2
2016,1431,10,2
2016,1432,8,2
2016,1433,150,2
2016,1434,14,2
2016,1439,30,2
2016,1441,91,2
2016,1442,34,2
2016,1444,45,2
2016,1445,15,2
2016,1446,89,2
2016,1447,6,2
2016,1448,37,2
2016,1450,89,2
2016,1451,112,2
2016,1455,10,2
2016,1464,31,2
2016,1466,96,2
2016,1475,654,2
2016,1476,203,2
2016,1477,226,2
2016,1483,290,2
2016,1485,54,2
2016,1487,186,2
2016,1488,78,2
2016,1489,94,2
2016,1490,63,2
2016,1491,29,2
2016,1492,446,2
2016,1493,251,2
2016,1494,140,2
2016,1496,41,2
2016,1497,314,2
2016,1498,85,2
2016,1499,106,2
2016,1503,88,2
2016,1504,21,2
2016,1512,194,2
2016,1513,12,2
2016,1514,88,2
2016,1516,170,2
2016,1519,19,2
2016,1520,14,2
2016,1591,132,2
2016,1592,134,2
2016,1593,40,2
2016,1595,17,2
2016,1596,29,2
2016,1597,32,2
2016,1598,232,2
2016,1599,131,2
2016,1605,40,2
2016,1606,45,2
2016,1607,2,2
2016,1614,49,2
2016,1626,31,2
2016,1627,33,2
2016,1628,56,2
2016,1630,83,2
2016,1635,71,2
2016,1636,41,2
2016,1640,73,2
2016,1641,66,2
2016,1642,33,2
2016,1643,324,2
2016,1644,8,2
2016,1645,25,2
2016,1646,28,2
2016,1647,18,2
2016,1649,27,2
2016,1650,16,2
2016,1651,103,2
2016,1652,36,2
2016,1653,22,2
2016,1654,601,2
2016,1655,91,2
2016,1656,54,2
2016,1657,24,2
2016,1658,18,2
2016,1667,55,2
2016,1668,168,2
2016,1676,273,2
2016,1677,3,2
2016,1678,2,2
2016,1679,23,2
2016,1680,6,2
2016,1681,7,2
2016,1682,3,2
2016,1683,5,2
2016,1684,3,2
2016,1687,13,2
2016,1688,81,2
2016,1689,9,2
2016,1690,276,2
2016,1691,15,2
2016,1692,21,2
2016,1693,244,2
2016,1694,103,2
2016,1697,44,2
2016,1698,23,2
2016,1703,133,2
2016,1705,35,2
2016,1706,375,2
2016,1708,430,2
2016,1715,34,2
2016,1716,69,2
2016,1717,140,2
2016,1718,474,2
2016,1719,508,2
2016,1724,64,2
2016,1725,514,2
2016,1730,114,2
2016,1731,113,2
2016,1736,93,2
2016,1737,34,2
2016,1738,69,2
2016,1739,122,2
2016,1741,54,2
2016,1742,29,2
2016,1743,15,2
2016,1749,182,2
2016,1751,211,2
2016,1752,40,2
2016,1755,136,2
2016,1758,15,2
2016,1760,85,2
2016,1762,228,2
2016,1763,28,2
2016,1764,46,2
2016,1765,394,2
2016,1766,14,2
2016,1767,117,2
2016,1768,47,2
2016,1769,142,2
2016,1770,530,2
2016,1771,159,2
2016,1774,62,2
2016,1775,23,2
2016,1776,9,2
2016,1777,73,2
2016,1778,129,2
2016,1779,773,2
2016,1780,285,2
2016,1781,2,2
2016,1783,34,2
2016,1784,24,2
2016,1786,89,2
2016,1788,30,2
2016,1790,13,2
2016,1791,1045,2
2016,1792,49,2
2016,1793,9,2
2016,1795,32,2
2016,1796,35,2
2016,1797,3,2
2016,1798,1,2
2016,1801,4,2
2016,1802,12,2
2016,1805,4,2
2016,1806,1,2
2016,1807,651,2
2016,1808,268,2
2016,1813,475,2
2016,1814,65,2
2016,1815,155,2
2016,1816,102,2
2016,1817,116,2
2016,1818,57,2
2016,1819,49,2
2016,1820,105,2
2016,1821,118,2
2016,1822,44,2
2016,1823,11,2
2016,1827,10,2
2016,1832,65,2
2016,1834,271,2
2016,1836,4,2
2016,1837,21,2
2016,1838,301,2
2016,1840,33,2
2016,1841,28,2
2016,1846,38,2
2016,1847,101,2
2016,1850,6,2
2016,1853,22,2
2016,1854,27,2
2016,1855,22,2
2016,1856,19,2
2016,1870,195,2
2016,1872,16,2
2016,1874,11,2
2016,1875,145,2
2016,1877,130,2
2016,1878,40,2
2016,1881,27,2
2016,1883,137,2
2016,1884,31,2
2016,1886,39,2
2016,1888,2,2
2016,1889,1,2
2016,1890,165,2
2016,1892,674,2
2016,1893,33,2
2016,1894,590,2
2016,1895,110,2
2016,1902,195,2
2016,1905,6,2
2016,1914,9,2
2016,1915,75,2
2016,1916,51,2
2016,1918,23,2
2016,1919,20,2
2016,1928,77,2
2016,1956,111,2
2016,1958,228,2
2016,1976,139,2
2016,1977,93,2
2016,1980,291,2
2016,1981,85,2
2016,1982,58,2
2016,1983,125,2
2016,1984,75,2
2016,1985,19,2
2016,1988,29,2
2016,1989,29,2
2016,1991,158,2
2016,1993,7,2
2016,2004,118,2
2016,2009,46,2
2016,2016,41,2
2016,2026,14,2
2016,2028,6,2
2016,2034,7,2
2016,2037,7,2
2016,2039,88,2
2016,2040,98,2
2016,2046,24,2
2016,2048,2,2
2016,2049,11,2
2016,2051,421,2
2016,2052,303,2
2016,2053,41,2
2016,2054,318,2
2016,2055,90,2
2016,2056,25,2
2016,2063,5,2
2016,2065,87,2
2016,2068,62,2
2016,2069,62,2
2016,2070,134,2
2016,2071,16,2
2016,2076,266,2
2016,2078,81,2
2016,2095,11,2
2016,2098,62,2
2016,2111,7,2
2016,2114,310,2
2016,2115,21,2
2016,2119,34,2
2016,2131,97,2
2016,2134,264,2
2016,2145,149,2
2016,2153,9,2
2016,2162,15,2
2016,2168,64,2
2016,2180,24,2
2016,2189,54,2
2016,2190,31,2
2016,2191,57,2
