año,codigo snies del programa,matriculados,semestre
2020,1654,2228,2
2020,1655,465,2
2020,1656,246,2
2020,1657,175,2
2020,1658,69,2
2020,1660,40,2
2020,1661,15,2
2020,1662,15,2
2020,1663,12,2
2020,1664,12,2
2020,1667,345,2
2020,1668,2,2
2020,1676,2,2
2020,1677,3,2
2020,1678,2,2
2020,1679,3,2
2020,1680,2,2
2020,1681,17,2
2020,1682,2,2
2020,1683,6,2
2020,1684,4,2
2020,1687,25,2
2020,1688,23,2
2020,1689,132,2
2020,1697,84,2
2020,1698,26,2
2020,1703,18,2
2020,1705,109,2
2020,1706,499,2
2020,1708,1577,2
2020,1711,55,2
2020,1713,660,2
2020,1714,63,2
2020,1715,108,2
2020,1716,87,2
2020,1717,313,2
2020,1718,983,2
2020,1719,586,2
2020,1724,422,2
2020,1725,372,2
2020,1735,156,2
2020,1736,353,2
2020,1737,208,2
2020,1738,204,2
2020,1739,248,2
2020,1741,330,2
2020,1742,208,2
2020,1743,226,2
2020,1749,355,2
2020,1751,396,2
2020,1752,63,2
2020,1755,278,2
2020,1760,166,2
2020,1762,968,2
2020,1763,106,2
2020,1764,195,2
2020,1765,776,2
2020,1766,32,2
2020,1767,60,2
2020,1768,71,2
2020,1769,626,2
2020,1770,1219,2
2020,1771,595,2
2020,1774,158,2
2020,1775,104,2
2020,1776,28,2
2020,1777,207,2
2020,1778,398,2
2020,1779,1241,2
2020,1780,495,2
2020,1781,12,2
2020,1782,10,2
2020,1783,12,2
2020,1784,19,2
2020,1785,20,2
2020,1786,42,2
2020,1787,4,2
2020,1788,6,2
2020,1790,28,2
2020,1791,23,2
2020,1792,31,2
2020,1793,20,2
2020,1794,7,2
2020,1795,25,2
2020,1796,25,2
2020,1797,6,2
2020,1798,16,2
2020,1799,6,2
2020,1800,4,2
2020,1801,32,2
2020,1802,23,2
2020,1805,11,2
2020,1806,9,2
2020,1807,1722,2
2020,1808,24,2
2020,1813,903,2
2020,1814,419,2
2020,1815,18,2
2020,1816,20,2
2020,1817,11,2
2020,1818,18,2
2020,1819,6,2
2020,1820,19,2
2020,1821,15,2
2020,1822,8,2
2020,1823,12,2
2020,1827,22,2
2020,1828,18,2
2020,1829,2,2
2020,1832,55,2
2020,1834,175,2
2020,1836,9,2
2020,1837,185,2
2020,1838,2206,2
2020,1840,57,2
2020,1841,89,2
2020,1846,142,2
2020,1847,355,2
2020,1850,21,2
2020,1853,83,2
2020,1854,217,2
2020,1855,194,2
2020,1856,182,2
2020,1861,8,2
2020,1870,603,2
2020,1872,71,2
2020,1874,31,2
2020,1875,584,2
2020,1877,875,2
2020,1878,256,2
2020,1881,97,2
2020,1883,498,2
2020,1884,107,2
2020,1885,1,2
2020,1888,3,2
2020,1890,21,2
2020,1892,683,2
2020,1893,2,2
2020,1894,536,2
2020,1895,275,2
2020,1902,125,2
2020,1905,1,2
2020,1914,89,2
2020,1915,373,2
2020,1916,308,2
2020,1918,123,2
2020,1919,162,2
2020,1928,362,2
2020,1936,14,2
2020,1937,56,2
2020,1942,77,2
2020,1943,3,2
2020,1944,30,2
2020,1946,77,2
2020,1950,37,2
2020,1953,371,2
2020,1956,492,2
2020,1958,1971,2
